mdom	type	dmel
LOC101890996_XP_005180236.1	1:1	FBgn0034365_FBpp0085887
LOC101890997_XP_005180416.1	1:1	FBgn0039380_FBpp0084282
LOC101890998_XP_005180769.1	1:1	FBgn0037898_FBpp0290123
LOC101890999_XP_005180863.1	1:1	FBgn0262619_FBpp0072041
LOC101891000_XP_005181039.1	n:1	FBgn0051813_FBpp0310251
LOC101891001_XP_005181125.1	1:1	FBgn0038111_FBpp0082186
LOC101891002_XP_005181383.1	1:1	FBgn0035331_FBpp0303220
LOC101891003_XP_005181806.1	1:1	FBgn0033936_FBpp0311633
LOC101891004_XP_005182076.1	1:1	FBgn0038460_FBpp0307994
LOC101891005_XP_005182760.1	1:1	FBgn0264753_FBpp0306398
LOC101891006_XP_005182848.1	1:1	FBgn0000359_FBpp0071150
LOC101891007_XP_005183446.1	1:1	FBgn0032846_FBpp0304005
LOC101891008_XP_005183525.1	1:1	FBgn0039748_FBpp0312535
LOC101891010_XP_005184225.1	1:1	FBgn0032123_FBpp0079425
LOC101891013_XP_005184892.1	1:1	FBgn0037359_FBpp0078361
LOC101891014_XP_005185140.1	1:1	FBgn0000463_FBpp0293200
LOC101891015_XP_005185729.1	1:1	FBgn0038195_FBpp0082332
LOC101891016_XP_005186296.1	1:1	FBgn0038917_FBpp0083546
LOC101891017_XP_005187296.1	1:1	FBgn0030495_FBpp0304125
LOC101891019_XP_005187625.1	1:1	FBgn0030954_FBpp0111916
LOC101891022_XP_005188506.1	n:1	FBgn0085432_FBpp0111569
LOC101891023_XP_005188592.1	1:1	FBgn0030758_FBpp0074068
LOC101891024_XP_005188680.1	n:1	FBgn0036590_FBpp0075223
LOC101891025_XP_005188764.1	n:1	FBgn0034468_FBpp0085672
LOC101891026_XP_005188845.1	1:1	FBgn0034622_FBpp0289682
LOC101891029_XP_005189718.1	n:n	FBgn0039439_FBpp0084425,FBgn0039440_FBpp0113030,FBgn0051080_FBpp0084404,FBgn0039441_FBpp0084403,FBgn0039436_FBpp0084429,FBgn0039437_FBpp0084428,FBgn0039434_FBpp0084401
LOC101891030_XP_005190282.1	n:1	FBgn0035480_FBpp0305345
LOC101891031_XP_005190436.1	n:1	FBgn0036880_FBpp0304993
LOC101891032_XP_005190690.1	1:1	FBgn0036194_FBpp0075861
LOC101891033_XP_005190856.1	1:1	FBgn0011638_FBpp0080906
LOC101891034_XP_005191899.1	n:1	FBgn0025613_FBpp0070661
LOC101891036_XP_005192135.1	n:1	FBgn0032800_FBpp0080789
LOC101891037_XP_005175118.1	1:1	FBgn0040687_FBpp0078548
LOC101891040_XP_005175844.1	1:1	FBgn0035195_FBpp0292309
LOC101891041_XP_005177081.1	1:1	FBgn0034057_FBpp0086406
LOC101891042_XP_005177629.1	1:n	FBgn0031440_FBpp0113005,FBgn0032448_FBpp0079990,FBgn0260986_FBpp0308660
LOC101891043_XP_005178659.1	1:1	FBgn0053229_FBpp0311661
LOC101891044_XP_005178838.1	1:1	FBgn0028953_FBpp0311544
LOC101891045_XP_005179545.1	n:1	FBgn0028841_FBpp0309208
LOC101891046_XP_005179636.1	1:1	FBgn0004889_FBpp0081665
LOC101891047_XP_005179891.1	n:n	FBgn0261363_FBpp0291496,FBgn0033367_FBpp0087744
LOC101891048_XP_005179978.1	1:1	FBgn0029969_FBpp0311869
LOC101891049_XP_005180149.1	1:1	FBgn0086604_FBpp0111687
LOC101891050_XP_005180505.1	1:1	FBgn0036515_FBpp0075318
LOC101891051_XP_005180599.1	1:1	FBgn0008651_FBpp0304711
LOC101891053_XP_005181469.1	n:1	FBgn0031171_FBpp0290160
LOC101891054_XP_005182239.1	1:1	FBgn0037023_FBpp0077931
LOC101891055_XP_005183212.1	n:1	FBgn0032781_FBpp0080746
LOC101891057_XP_005183868.1	n:1	FBgn0260789_FBpp0071267
LOC101891058_XP_005183950.1	n:1	FBgn0035157_FBpp0072502
LOC101891059_XP_005184039.1	1:1	FBgn0033540_FBpp0087307
LOC101891061_XP_005184396.1	1:1	FBgn0033982_FBpp0086536
LOC101891062_XP_005184566.1	n:n	FBgn0040628_FBpp0310481,FBgn0039838_FBpp0112225,FBgn0040629_FBpp0293879,FBgn0039235_FBpp0084107
LOC101891063_XP_005185052.1	1:1	FBgn0261641_FBpp0306612
LOC101891064_XP_005185389.1	1:1	FBgn0039736_FBpp0084970
LOC101891065_XP_005185557.1	n:1	FBgn0040382_FBpp0070132
LOC101891066_XP_005186210.1	1:1	FBgn0028471_FBpp0084017
LOC101891067_XP_005186383.1	1:1	FBgn0030863_FBpp0312005
LOC101891068_XP_005186874.1	1:1	FBgn0039589_FBpp0084673
LOC101891071_XP_005187210.1	1:1	FBgn0028663_FBpp0078025
LOC101891073_XP_005187713.1	n:1	FBgn0261456_FBpp0304253
LOC101891076_XP_005189415.1	1:1	FBgn0029824_FBpp0309797
LOC101891077_XP_005189498.1	n:n	FBgn0036977_FBpp0300878,FBgn0265267_FBpp0074166
LOC101891078_XP_005189574.1	1:n	FBgn0031523_FBpp0077275,FBgn0031522_FBpp0077274,FBgn0053282_FBpp0112370
LOC101891079_XP_005189884.1	1:1	FBgn0038564_FBpp0082963
LOC101891080_XP_005190210.1	n:1	FBgn0005631_FBpp0071833
LOC101891081_XP_005190519.1	n:n	FBgn0053300_FBpp0296937,FBgn0003372_FBpp0077084,FBgn0040950_FBpp0078834,FBgn0051439_FBpp0084219
LOC101891082_XP_005190602.1	1:1	FBgn0039601_FBpp0084724
LOC101891083_XP_005190933.1	1:1	FBgn0037609_FBpp0081434
LOC101891084_XP_005191012.1	n:n	FBgn0004045_FBpp0071354,FBgn0004047_FBpp0073652
LOC101891085_XP_005191260.1	1:1	FBgn0022720_FBpp0079461
LOC101891086_XP_005191425.1	1:1	FBgn0030834_FBpp0074220
LOC101891087_XP_005192212.1	1:1	FBgn0003270_FBpp0080631
LOC101891088_XP_005174874.1	1:1	FBgn0035020_FBpp0289716
LOC101891089_XP_005174960.1	n:1	FBgn0047038_FBpp0076005
LOC101891090_XP_005175353.1	n:n	FBgn0046886_FBpp0084557,FBgn0046885_FBpp0084558,FBgn0046887_FBpp0084556
LOC101891091_XP_005175513.1	n:1	FBgn0031052_FBpp0074515
LOC101891093_XP_005175720.1	1:1	FBgn0266099_FBpp0310151
LOC101891094_XP_005175774.1	1:1	FBgn0036588_FBpp0075219
LOC101891095_XP_005175927.1	n:1	FBgn0038515_FBpp0082929
LOC101891098_XP_005176638.1	1:1	FBgn0085422_FBpp0309471
LOC101891099_XP_005176719.1	1:1	FBgn0036765_FBpp0289510
LOC101891101_XP_005178218.1	1:1	FBgn0039013_FBpp0083719
LOC101891102_XP_005178483.1	n:n	FBgn0045486_FBpp0080516,FBgn0045487_FBpp0080515,FBgn0045485_FBpp0080517,FBgn0041235_FBpp0071887,FBgn0041236_FBpp0071886
LOC101891103_XP_005180063.1	n:n	FBgn0038680_FBpp0083144,FBgn0038681_FBpp0083145
LOC101891105_XP_005180687.1	1:1	FBgn0027364_FBpp0077933
LOC101891106_XP_005181202.1	1:1	FBgn0030478_FBpp0073600
LOC101891107_XP_005181293.1	1:1	FBgn0032346_FBpp0079813
LOC101891109_XP_005181639.1	n:1	FBgn0034458_FBpp0085686
LOC101891110_XP_005181898.1	1:1	FBgn0031753_FBpp0078781
LOC101891111_XP_005181986.1	1:1	FBgn0037728_FBpp0300672
LOC101891112_XP_005182409.1	1:1	FBgn0027569_FBpp0311285
LOC101891114_XP_005182584.1	1:1	FBgn0039972_FBpp0297346
LOC101891115_XP_005182672.1	n:1	FBgn0036608_FBpp0075189
LOC101891116_XP_005183029.1	1:1	FBgn0039044_FBpp0083753
LOC101891117_XP_005183121.1	1:1	FBgn0051463_FBpp0081321
LOC101891118_XP_005183289.1	1:1	FBgn0039274_FBpp0084144
LOC101891120_XP_005184968.1	n:1	FBgn0036879_FBpp0074702
LOC101891122_XP_005185307.1	n:n	FBgn0038148_FBpp0082224,FBgn0040553_FBpp0082229,FBgn0266439_FBpp0310801,FBgn0034828_FBpp0297218
LOC101891124_XP_005185646.1	1:n	FBgn0082598_FBpp0291701,FBgn0262017_FBpp0292844
LOC101891125_XP_005185817.1	1:1	FBgn0036274_FBpp0290293
LOC101891126_XP_005186468.1	n:1	FBgn0038173_FBpp0082289
LOC101891127_XP_005186544.1	1:1	FBgn0020620_FBpp0086731
LOC101891128_XP_005186631.1	n:1	FBgn0032612_FBpp0304014
LOC101891129_XP_005186698.1	1:1	FBgn0261803_FBpp0292371
LOC101891130_XP_005187123.1	n:n	FBgn0011822_FBpp0070095,FBgn0032304_FBpp0079729,FBgn0032303_FBpp0079728,FBgn0038507_FBpp0082880,FBgn0053128_FBpp0077595
LOC101891131_XP_005187381.1	1:1	FBgn0010531_FBpp0290166
LOC101891132_XP_005188059.1	1:1	FBgn0031266_FBpp0077728
LOC101891133_XP_005188151.1	n:1	FBgn0031484_FBpp0077327
LOC101891134_XP_005188236.1	1:1	FBgn0051548_FBpp0078385
LOC101891136_XP_005188417.1	1:1	FBgn0085260_FBpp0311199
LOC101891137_XP_005189652.1	1:1	FBgn0029941_FBpp0088653
LOC101891139_XP_005189966.1	n:1	FBgn0053772_FBpp0292731
LOC101891142_XP_005190354.1	n:1	FBgn0259228_FBpp0289753
LOC101891143_XP_005191093.1	1:1	FBgn0034187_FBpp0289504
LOC101891144_XP_005191177.1	n:1	FBgn0038840_FBpp0307023
LOC101891145_XP_005191348.1	n:n	FBgn0085462_FBpp0111646,FBgn0085461_FBpp0111645,FBgn0038568_FBpp0082969
LOC101891146_XP_005191595.1	1:1	FBgn0037238_FBpp0307190
LOC101891147_XP_005191665.1	1:1	FBgn0032864_FBpp0305186
LOC101891148_XP_005175039.1	n:n	FBgn0050037_FBpp0087155,FBgn0050036_FBpp0087156,FBgn0053145_FBpp0087154
LOC101891149_XP_005175197.1	n:1	FBgn0037045_FBpp0077983
LOC101891150_XP_005176096.1	1:1	FBgn0025741_FBpp0088287
LOC101891151_XP_005176187.1	1:1	FBgn0260938_FBpp0073960
LOC101891152_XP_005176278.1	1:1	FBgn0042134_FBpp0074865
LOC101891153_XP_005176370.1	1:1	FBgn0061476_FBpp0085138
LOC101891154_XP_005176551.1	1:1	FBgn0033473_FBpp0087481
LOC101891157_XP_005177545.1	n:1	FBgn0030615_FBpp0073845
LOC101891158_XP_005177714.1	1:1	FBgn0033932_FBpp0086614
LOC101891159_XP_005177796.1	1:1	FBgn0000179_FBpp0303589
LOC101891160_XP_005177876.1	1:1	FBgn0030808_FBpp0288535
LOC101891161_XP_005177965.1	1:1	FBgn0033236_FBpp0308273
LOC101891162_XP_005178134.1	n:1	FBgn0029965_FBpp0307900
LOC101891163_XP_005178307.1	1:1	FBgn0028499_FBpp0082981
LOC101891164_XP_005178397.1	n:1	FBgn0051087_FBpp0307220
LOC101891165_XP_005178923.1	1:1	FBgn0267488_FBpp0079165
LOC101891166_XP_005179097.1	n:1	FBgn0039040_FBpp0083755
LOC101891167_XP_005179189.1	n:n	FBgn0041183_FBpp0080369,FBgn0041182_FBpp0079133
LOC101891168_XP_005179279.1	1:1	FBgn0035316_FBpp0072789
LOC101891169_XP_005179726.1	1:1	FBgn0085222_FBpp0111301
LOC101891170_XP_005179811.1	1:1	FBgn0010416_FBpp0309276
LOC101891171_XP_005180237.1	1:1	FBgn0034366_FBpp0085891
LOC101891172_XP_005180771.1	1:1	FBgn0051363_FBpp0081930
LOC101891173_XP_005180864.1	1:1	FBgn0053276_FBpp0113022
LOC101891176_XP_005181807.1	1:1	FBgn0033935_FBpp0086616
LOC101891177_XP_005182319.1	n:n	FBgn0002562_FBpp0073484,FBgn0002563_FBpp0311765
LOC101891178_XP_005182761.1	1:1	FBgn0034437_FBpp0085709
LOC101891179_XP_005182849.1	1:1	FBgn0014465_FBpp0071148
LOC101891180_XP_005183375.1	1:1	FBgn0052547_FBpp0304652
LOC101891181_XP_005183447.1	1:1	FBgn0032849_FBpp0080871
LOC101891182_XP_005183526.1	1:1	FBgn0039749_FBpp0291718
LOC101891183_XP_005183704.1	1:1	FBgn0037822_FBpp0081744
LOC101891184_XP_005184489.1	1:1	FBgn0037304_FBpp0304701
LOC101891185_XP_005184725.1	n:1	FBgn0025645_FBpp0070527
LOC101891186_XP_005184811.1	1:1	FBgn0041195_FBpp0079947
LOC101891187_XP_005184893.1	1:1	FBgn0037360_FBpp0078379
LOC101891188_XP_005185141.1	1:1	FBgn0261802_FBpp0305885
LOC101891189_XP_005186297.1	1:1	FBgn0037664_FBpp0081453
LOC101891190_XP_005187297.1	1:1	FBgn0030494_FBpp0073615
LOC101891192_XP_005187626.1	1:1	FBgn0030468_FBpp0073588
LOC101891193_XP_005187973.1	1:1	FBgn0039009_FBpp0311469
LOC101891194_XP_005188507.1	1:1	FBgn0029878_FBpp0070906
LOC101891195_XP_005188593.1	1:1	FBgn0030318_FBpp0073365
LOC101891196_XP_005188681.1	n:1	FBgn0036590_FBpp0075223
LOC101891197_XP_005188765.1	n:n	FBgn0034471_FBpp0085634,FBgn0034470_FBpp0085673,FBgn0034474_FBpp0089127
LOC101891198_XP_005188846.1	1:1	FBgn0020306_FBpp0309691
LOC101891201_XP_005189177.1	1:1	FBgn0027259_FBpp0073386
LOC101891202_XP_005189719.1	n:n	FBgn0039439_FBpp0084425,FBgn0039440_FBpp0113030,FBgn0051080_FBpp0084404,FBgn0039441_FBpp0084403,FBgn0039436_FBpp0084429,FBgn0039437_FBpp0084428,FBgn0039434_FBpp0084401
LOC101891203_XP_005190437.1	n:1	FBgn0000566_FBpp0085889
LOC101891204_XP_005190857.1	n:1	FBgn0003475_FBpp0080884
LOC101891205_XP_005191900.1	n:1	FBgn0262534_FBpp0293413
LOC101891206_XP_005191976.1	n:1	FBgn0263256_FBpp0300618
LOC101891207_XP_005192136.1	1:1	FBgn0032314_FBpp0290402
LOC101891208_XP_005175119.1	n:1	FBgn0039452_FBpp0100004
LOC101891209_XP_005175275.1	1:1	FBgn0035171_FBpp0289574
LOC101891211_XP_005175845.1	1:1	FBgn0034727_FBpp0071753
LOC101891212_XP_005177082.1	1:1	FBgn0034058_FBpp0086405
LOC101891213_XP_005177630.1	1:1	FBgn0025382_FBpp0070280
LOC101891214_XP_005178050.1	1:1	FBgn0032221_FBpp0111946
LOC101891215_XP_005178560.1	1:1	FBgn0036544_FBpp0088511
LOC101891217_XP_005179003.1	1:1	FBgn0050342_FBpp0087663
LOC101891218_XP_005179361.1	1:1	FBgn0264816_FBpp0306265
LOC101891219_XP_005179458.1	n:n	FBgn0051343_FBpp0083524,FBgn0051233_FBpp0083525
LOC101891220_XP_005179892.1	n:1	FBgn0033366_FBpp0087745
LOC101891221_XP_005179979.1	1:1	FBgn0003028_FBpp0291128
LOC101891222_XP_005180151.1	n:1	FBgn0052816_FBpp0310564
LOC101891223_XP_005180600.1	1:1	FBgn0011278_FBpp0083490
LOC101891225_XP_005181470.1	n:1	FBgn0031171_FBpp0290160
LOC101891226_XP_005181724.1	1:1	FBgn0053111_FBpp0083914
LOC101891227_XP_005182240.1	1:n	FBgn0051735_FBpp0080348,FBgn0028857_FBpp0289840,FBgn0034826_FBpp0071883
LOC101891228_XP_005183213.1	n:1	FBgn0032781_FBpp0080746
LOC101891230_XP_005183869.1	1:1	FBgn0052704_FBpp0071268
LOC101891231_XP_005183951.1	1:1	FBgn0034432_FBpp0289511
LOC101891232_XP_005184040.1	1:1	FBgn0033549_FBpp0087317
LOC101891234_XP_005184397.1	n:n	FBgn0033981_FBpp0086586,FBgn0013771_FBpp0289405
LOC101891235_XP_005184567.1	n:n	FBgn0040628_FBpp0310481,FBgn0039838_FBpp0112225,FBgn0040629_FBpp0293879,FBgn0039235_FBpp0084107
LOC101891236_XP_005185053.1	1:1	FBgn0039294_FBpp0308367
LOC101891237_XP_005185390.1	n:1	FBgn0016685_FBpp0306756
LOC101891239_XP_005185957.1	n:n	FBgn0053296_FBpp0310054,FBgn0031935_FBpp0291680,FBgn0031936_FBpp0079130,FBgn0031937_FBpp0310053
LOC101891240_XP_005186125.1	1:1	FBgn0029996_FBpp0071068
LOC101891241_XP_005186211.1	1:1	FBgn0037899_FBpp0081879
LOC101891244_XP_005187039.1	n:n	FBgn0053300_FBpp0296937,FBgn0003372_FBpp0077084,FBgn0040950_FBpp0078834,FBgn0051439_FBpp0084219
LOC101891245_XP_005187211.1	1:1	FBgn0037156_FBpp0078163
LOC101891246_XP_005187544.1	n:n	FBgn0051424_FBpp0307909,FBgn0051423_FBpp0307908,FBgn0051164_FBpp0083591,FBgn0033515_FBpp0087414,FBgn0036010_FBpp0307896
LOC101891247_XP_005187714.1	n:1	FBgn0020766_FBpp0086720
LOC101891249_XP_005187886.1	1:1	FBgn0024251_FBpp0304134
LOC101891250_XP_005189326.1	1:1	FBgn0039250_FBpp0084092
LOC101891251_XP_005189499.1	n:n	FBgn0036977_FBpp0300878,FBgn0265267_FBpp0074166
LOC101891252_XP_005189885.1	1:1	FBgn0040271_FBpp0306755
LOC101891253_XP_005190211.1	1:n	FBgn0262473_FBpp0303187,FBgn0026760_FBpp0080080
LOC101891254_XP_005190603.1	1:1	FBgn0039600_FBpp0084691
LOC101891255_XP_005190934.1	1:1	FBgn0010441_FBpp0084549
LOC101891256_XP_005191013.1	n:1	FBgn0020508_FBpp0073755
LOC101891257_XP_005191261.1	1:1	FBgn0265174_FBpp0308217
LOC101891258_XP_005191426.1	1:1	FBgn0030833_FBpp0308827
LOC101891259_XP_005192213.1	1:1	FBgn0014903_FBpp0070170
LOC101891260_XP_005174961.1	1:1	FBgn0004407_FBpp0099758
LOC101891261_XP_005175354.1	n:n	FBgn0046886_FBpp0084557,FBgn0046885_FBpp0084558,FBgn0046887_FBpp0084556
LOC101891262_XP_005175514.1	1:1	FBgn0033652_FBpp0087137
LOC101891263_XP_005175590.1	1:1	FBgn0029944_FBpp0071008
LOC101891264_XP_005175721.1	1:1	FBgn0019650_FBpp0088249
LOC101891266_XP_005175928.1	1:1	FBgn0010926_FBpp0082928
LOC101891267_XP_005176462.1	n:1	FBgn0002719_FBpp0082129
LOC101891268_XP_005176720.1	1:1	FBgn0036769_FBpp0074920
LOC101891269_XP_005177274.1	1:1	FBgn0003009_FBpp0309889
LOC101891270_XP_005177455.1	1:1	FBgn0030403_FBpp0073491
LOC101891271_XP_005178220.1	1:1	FBgn0266409_FBpp0310734
LOC101891272_XP_005178484.1	1:1	FBgn0030298_FBpp0312370
LOC101891273_XP_005178747.1	1:1	FBgn0010406_FBpp0076469
LOC101891274_XP_005180064.1	n:n	FBgn0038680_FBpp0083144,FBgn0038681_FBpp0083145
LOC101891275_XP_005180329.1	1:1	FBgn0259818_FBpp0291141
LOC101891276_XP_005180417.1	1:1	FBgn0027865_FBpp0303196
LOC101891277_XP_005180688.1	n:1	FBgn0033649_FBpp0111983
LOC101891278_XP_005181203.1	1:1	FBgn0026149_FBpp0071293
LOC101891281_XP_005181640.1	n:1	FBgn0050081_FBpp0086497
LOC101891282_XP_005181899.1	1:1	FBgn0032949_FBpp0085251
LOC101891283_XP_005181987.1	1:1	FBgn0019624_FBpp0306911
LOC101891284_XP_005182077.1	1:n	FBgn0051274_FBpp0082812,FBgn0043069_FBpp0307988
LOC101891286_XP_005182585.1	n:n	FBgn0038486_FBpp0082848,FBgn0037440_FBpp0081231,FBgn0032471_FBpp0080012
LOC101891287_XP_005182673.1	n:1	FBgn0036608_FBpp0075189
LOC101891288_XP_005182941.1	n:1	FBgn0039667_FBpp0084796
LOC101891289_XP_005183122.1	1:1	FBgn0037565_FBpp0297718
LOC101891290_XP_005183290.1	1:1	FBgn0011771_FBpp0078162
LOC101891291_XP_005184639.1	1:1	FBgn0038072_FBpp0112137
LOC101891292_XP_005184969.1	n:1	FBgn0036879_FBpp0074702
LOC101891293_XP_005185232.1	n:1	FBgn0034475_FBpp0292058
LOC101891294_XP_005185308.1	n:n	FBgn0038148_FBpp0082224,FBgn0040553_FBpp0082229,FBgn0266439_FBpp0310801,FBgn0034828_FBpp0297218
LOC101891295_XP_005185473.1	1:1	FBgn0024315_FBpp0086261
LOC101891296_XP_005185647.1	1:1	FBgn0036684_FBpp0302831
LOC101891297_XP_005185730.1	1:1	FBgn0038194_FBpp0088707
LOC101891299_XP_005186469.1	1:1	FBgn0002937_FBpp0082288
LOC101891301_XP_005186699.1	n:1	FBgn0030804_FBpp0074117
LOC101891302_XP_005187124.1	n:n	FBgn0011822_FBpp0070095,FBgn0032304_FBpp0079729,FBgn0032303_FBpp0079728,FBgn0038507_FBpp0082880,FBgn0053128_FBpp0077595
LOC101891303_XP_005187382.1	1:1	FBgn0026309_FBpp0088518
LOC101891304_XP_005188060.1	1:1	FBgn0051816_FBpp0080425
LOC101891305_XP_005188152.1	1:1	FBgn0031782_FBpp0312024
LOC101891306_XP_005188237.1	1:1	FBgn0026620_FBpp0291772
LOC101891308_XP_005188418.1	1:1	FBgn0050269_FBpp0071778
LOC101891309_XP_005188929.1	1:1	FBgn0036992_FBpp0077883
LOC101891310_XP_005189653.1	1:1	FBgn0039489_FBpp0084478
LOC101891311_XP_005189803.1	n:1	FBgn0039915_FBpp0088910
LOC101891312_XP_005189967.1	n:1	FBgn0053772_FBpp0292731
LOC101891315_XP_005190692.1	n:1	FBgn0037000_FBpp0077878
LOC101891316_XP_005191094.1	1:1	FBgn0030159_FBpp0071325
LOC101891317_XP_005191178.1	n:1	FBgn0267348_FBpp0311281
LOC101891318_XP_005191349.1	1:1	FBgn0035679_FBpp0076771
LOC101891320_XP_005191666.1	1:1	FBgn0039557_FBpp0084639
LOC101891321_XP_005175200.1	1:1	FBgn0035688_FBpp0304176
LOC101891322_XP_005176097.1	1:1	FBgn0014869_FBpp0084753
LOC101891323_XP_005176188.1	1:1	FBgn0030914_FBpp0309961
LOC101891324_XP_005176279.1	1:1	FBgn0259099_FBpp0303608
LOC101891325_XP_005176371.1	1:1	FBgn0051004_FBpp0290183
LOC101891326_XP_005176552.1	1:1	FBgn0034279_FBpp0088525
LOC101891327_XP_005176900.1	1:1	FBgn0037427_FBpp0306605
LOC101891328_XP_005176991.1	1:1	FBgn0040505_FBpp0304259
LOC101891329_XP_005177546.1	1:n	FBgn0004860_FBpp0070417,FBgn0004861_FBpp0070416
LOC101891330_XP_005177715.1	n:n	FBgn0033827_FBpp0311718,FBgn0032663_FBpp0080598
LOC101891331_XP_005177797.1	n:1	FBgn0264386_FBpp0306997
LOC101891332_XP_005177966.1	1:1	FBgn0033235_FBpp0087958
LOC101891333_XP_005178135.1	n:1	FBgn0029966_FBpp0301563
LOC101891334_XP_005178308.1	1:1	FBgn0038279_FBpp0311935
LOC101891335_XP_005178398.1	n:1	FBgn0034398_FBpp0085811
LOC101891336_XP_005179098.1	1:1	FBgn0000157_FBpp0289353
LOC101891339_XP_005179547.1	1:1	FBgn0024997_FBpp0070458
LOC101891342_XP_005180509.1	1:1	FBgn0015239_FBpp0292671
LOC101891343_XP_005180865.1	1:1	FBgn0035587_FBpp0076870
LOC101891344_XP_005181041.1	1:1	FBgn0003676_FBpp0083684
LOC101891345_XP_005181385.1	1:1	FBgn0004875_FBpp0305410
LOC101891346_XP_005182320.1	1:1	FBgn0037140_FBpp0078124
LOC101891347_XP_005182762.1	1:1	FBgn0030151_FBpp0088409
LOC101891348_XP_005182850.1	1:1	FBgn0014464_FBpp0099518
LOC101891349_XP_005183448.1	1:1	FBgn0032847_FBpp0080872
LOC101891350_XP_005183527.1	n:1	FBgn0034295_FBpp0085987
LOC101891351_XP_005183705.1	1:1	FBgn0020385_FBpp0081741
LOC101891352_XP_005184132.1	1:1	FBgn0034083_FBpp0291294
LOC101891353_XP_005184490.1	n:1	FBgn0032470_FBpp0290580
LOC101891354_XP_005184726.1	1:1	FBgn0035400_FBpp0306026
LOC101891356_XP_005184894.1	1:1	FBgn0260962_FBpp0082177
LOC101891357_XP_005185142.1	1:1	FBgn0034624_FBpp0071537
LOC101891358_XP_005186298.1	1:1	FBgn0002924_FBpp0311231
LOC101891362_XP_005187627.1	1:1	FBgn0003079_FBpp0070385
LOC101891363_XP_005187974.1	n:1	FBgn0000412_FBpp0290739
LOC101891365_XP_005188594.1	1:1	FBgn0029518_FBpp0305205
LOC101891366_XP_005188682.1	n:1	FBgn0036594_FBpp0288402
LOC101891367_XP_005188766.1	n:1	FBgn0046880_FBpp0085675
LOC101891368_XP_005188847.1	1:1	FBgn0033389_FBpp0290742
LOC101891370_XP_005189178.1	n:1	FBgn0010197_FBpp0111769
LOC101891371_XP_005189417.1	1:1	FBgn0038126_FBpp0082250
LOC101891372_XP_005189720.1	n:n	FBgn0039439_FBpp0084425,FBgn0039440_FBpp0113030,FBgn0051080_FBpp0084404,FBgn0039441_FBpp0084403,FBgn0039436_FBpp0084429,FBgn0039437_FBpp0084428,FBgn0039434_FBpp0084401
LOC101891374_XP_005190438.1	n:1	FBgn0004374_FBpp0080864
LOC101891375_XP_005190521.1	n:1	FBgn0027602_FBpp0074214
LOC101891376_XP_005190858.1	1:1	FBgn0086130_FBpp0077674
LOC101891377_XP_005191516.1	1:1	FBgn0019637_FBpp0078353
LOC101891378_XP_005191741.1	1:1	FBgn0003074_FBpp0087762
LOC101891380_XP_005191977.1	n:1	FBgn0002631_FBpp0084352
LOC101891381_XP_005192061.1	1:1	FBgn0001187_FBpp0086530
LOC101891382_XP_005192137.1	1:1	FBgn0032804_FBpp0080793
LOC101891383_XP_005174790.1	1:1	FBgn0032204_FBpp0079574
LOC101891384_XP_005174879.1	1:1	FBgn0035023_FBpp0310091
LOC101891385_XP_005175120.1	n:1	FBgn0039452_FBpp0100004
LOC101891388_XP_005175846.1	n:n	FBgn0034292_FBpp0085990,FBgn0034291_FBpp0085991,FBgn0051041_FBpp0084836,FBgn0039671_FBpp0084837,FBgn0039670_FBpp0084838,FBgn0034296_FBpp0085986
LOC101891389_XP_005177083.1	1:1	FBgn0034059_FBpp0086344
LOC101891390_XP_005177631.1	n:1	FBgn0052808_FBpp0070282
LOC101891392_XP_005179007.1	1:1	FBgn0003071_FBpp0087506
LOC101891393_XP_005179362.1	1:1	FBgn0034572_FBpp0071455
LOC101891394_XP_005179459.1	1:1	FBgn0054034_FBpp0289636
LOC101891395_XP_005179893.1	n:1	FBgn0033366_FBpp0087745
LOC101891396_XP_005180601.1	1:1	FBgn0032004_FBpp0079248
LOC101891397_XP_005180954.1	1:1	FBgn0033000_FBpp0289201
LOC101891399_XP_005181471.1	1:1	FBgn0034224_FBpp0086109
LOC101891400_XP_005181725.1	1:1	FBgn0015513_FBpp0293271
LOC101891402_XP_005183214.1	1:1	FBgn0032481_FBpp0080066
LOC101891403_XP_005183792.1	1:n	FBgn0033789_FBpp0086909,FBgn0033788_FBpp0086910
LOC101891404_XP_005183870.1	n:1	FBgn0001965_FBpp0080118
LOC101891405_XP_005183952.1	1:1	FBgn0035153_FBpp0072506
LOC101891406_XP_005184041.1	1:1	FBgn0033550_FBpp0087346
LOC101891408_XP_005184398.1	n:n	FBgn0033981_FBpp0086586,FBgn0013771_FBpp0289405
LOC101891410_XP_005185054.1	1:1	FBgn0037981_FBpp0082011
LOC101891411_XP_005185391.1	1:1	FBgn0039735_FBpp0084971
LOC101891413_XP_005185818.1	1:1	FBgn0010240_FBpp0089263
LOC101891414_XP_005185882.1	1:1	FBgn0036597_FBpp0075226
LOC101891415_XP_005185958.1	n:n	FBgn0053296_FBpp0310054,FBgn0031935_FBpp0291680,FBgn0031936_FBpp0079130,FBgn0031937_FBpp0310053
LOC101891416_XP_005186212.1	1:1	FBgn0037895_FBpp0081881
LOC101891418_XP_005186963.1	1:1	FBgn0262125_FBpp0301099
LOC101891420_XP_005187212.1	1:1	FBgn0015075_FBpp0078144
LOC101891421_XP_005187545.1	1:1	FBgn0265778_FBpp0078879
