#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0126826          -          BGBP                 -           2.1e-124  415.3   0.0  2.6e-124  415.1   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:complement(18749699..18749896,18749974..18751136,18751283..18751400); ID=FBpp0126826; name=Dana\GF23634-PA; parent=FBgn0100628,FBtr0128334; dbxref=FlyBase:FBpp0126826,FlyBase_Annotation_IDs:GF23634-PA,GB_protein:EDV41021,REFSEQ:XP_001958215,FlyMine:FBpp0126826; MD5=a3c029eee1d316ddb0f028be43ed3a92; length=492; release=r1.3; species=Dana; 
FBpp0119231          -          CLIPB                -            2.6e-32  112.1   0.0   1.4e-17   63.6   0.0   2.3   2   0   0   2   2   2   2 type=protein; loc=scaffold_13340:complement(23547985..23548748,23554226..23555057); ID=FBpp0119231; name=Dana\GF16039-PA; parent=FBgn0093062,FBtr0120739; dbxref=FlyBase:FBpp0119231,FlyBase_Annotation_IDs:GF16039-PA,GB_protein:EDV44400,REFSEQ:XP_001955839,FlyMine:FBpp0119231; MD5=c7ca2074a27f150e59c7865b365e88d5; length=531; release=r1.3; species=Dana; 
FBpp0121053          -          CLIPB                -            3.2e-32  111.8   0.1   5.1e-32  111.1   0.1   1.2   1   1   0   1   1   1   1 type=protein; loc=scaffold_13340:join(6521935..6522620,6522680..6522752); ID=FBpp0121053; name=Dana\GF17861-PA; parent=FBgn0094879,FBtr0122561; dbxref=FlyBase:FBpp0121053,FlyBase_Annotation_IDs:GF17861-PA,GB_protein:EDV42197,REFSEQ:XP_001953636,FlyMine:FBpp0121053; MD5=cc844fbf5aa79c72ad8522baeb75cb9e; length=252; release=r1.3; species=Dana; 
FBpp0123021          -          CLIPB                -            3.3e-32  111.7   0.0   3.8e-32  111.5   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:8543124..8543774; ID=FBpp0123021; name=Dana\GF19829-PA; parent=FBgn0096836,FBtr0124529; dbxref=FlyBase:FBpp0123021,FlyBase_Annotation_IDs:GF19829-PA,GB_protein:EDV36715,REFSEQ:XP_001959893,FlyMine:FBpp0123021; MD5=b545a23c1c961c30d2d24b69d3bdc238; length=216; release=r1.3; species=Dana; 
FBpp0121509          -          CLIPB                -            5.9e-32  110.9   0.0   7.1e-32  110.6   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13340:join(13012767..13012812,13012874..13012990,13013052..13013743); ID=FBpp0121509; name=Dana\GF18317-PA; parent=FBgn0095335,FBtr0123017; dbxref=FlyBase:FBpp0121509,FlyBase_Annotation_IDs:GF18317-PA,GB_protein:EDV43100,REFSEQ:XP_001954539,FlyMine:FBpp0121509; MD5=d44246fb80badf60ffca56f48e3b4e92; length=284; release=r1.3; species=Dana; 
FBpp0118482          -          CLIPB                -            9.8e-32  110.1   0.0   1.8e-31  109.3   0.0   1.3   1   1   0   1   1   1   1 type=protein; loc=scaffold_12916:6212528..6213271; ID=FBpp0118482; name=Dana\GF15290-PA; parent=FBgn0092315,FBtr0119990; dbxref=FlyBase:FBpp0118482,FlyBase_Annotation_IDs:GF15290-PA,GB_protein:EDV31306,REFSEQ:XP_001962085,FlyMine:FBpp0118482; MD5=2f7fa19b1aa73e03dee1473efc968d97; length=247; release=r1.3; species=Dana; 
FBpp0122966          -          CLIPB                -            1.3e-31  109.7   0.0   1.9e-31  109.2   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:complement(12612703..12613133,12613187..12613338,12613397..12613436,12613490..12613685); ID=FBpp0122966; name=Dana\GF19774-PA; parent=FBgn0096781,FBtr0124474; dbxref=FlyBase:FBpp0122966,FlyBase_Annotation_IDs:GF19774-PA,GB_protein:EDV37289,REFSEQ:XP_001960467,FlyMine:FBpp0122966; MD5=4f60ce6915f47165a5f459fbae5e9edc; length=272; release=r1.3; species=Dana; 
FBpp0121690          -          CLIPB                -            1.4e-31  109.6   0.0   3.1e-31  108.5   0.0   1.4   1   1   0   1   1   1   1 type=protein; loc=scaffold_13340:join(15632064..15632674,15632786..15632826,15632895..15633046); ID=FBpp0121690; name=Dana\GF18498-PA; parent=FBgn0095516,FBtr0123198; dbxref=FlyBase:FBpp0121690,FlyBase_Annotation_IDs:GF18498-PA,GB_protein:EDV43455,REFSEQ:XP_001954894,FlyMine:FBpp0121690; MD5=aef244aad087e7abb47b7235b6b67cd4; length=267; release=r1.3; species=Dana; 
FBpp0118478          -          CLIPB                -            1.7e-31  109.4   0.0   3.1e-31  108.5   0.0   1.3   1   1   0   1   1   1   1 type=protein; loc=scaffold_12916:6176156..6176995; ID=FBpp0118478; name=Dana\GF15286-PA; parent=FBgn0092311,FBtr0119986; dbxref=FlyBase:FBpp0118478,FlyBase_Annotation_IDs:GF15286-PA,GB_protein:EDV31297,REFSEQ:XP_001962076,FlyMine:FBpp0118478; MD5=83106965355352fd1b0cfb5a28b1400b; length=279; release=r1.3; species=Dana; 
FBpp0122144          -          CLIPB                -            2.7e-31  108.7   0.1   2.4e-15   56.3   0.0   2.6   2   2   0   2   2   2   2 type=protein; loc=scaffold_13340:join(23550689..23551558,23551868..23552713); ID=FBpp0122144; name=Dana\GF18952-PA; parent=FBgn0095964,FBtr0123652; dbxref=FlyBase:FBpp0122144,FlyBase_Annotation_IDs:GF18952-PA,GB_protein:EDV44401,REFSEQ:XP_001955840,FlyMine:FBpp0122144; MD5=96a42016b79e25b3ae16a2721011b8df; length=571; release=r1.3; species=Dana; 
FBpp0128339          -          CLIPB                -            2.7e-31  108.7   0.5   6.2e-31  107.5   0.5   1.4   1   1   0   1   1   1   1 type=protein; loc=scaffold_13337:3876301..3877065; ID=FBpp0128339; name=Dana\GF25147-PA; parent=FBgn0102139,FBtr0129847; dbxref=FlyBase:FBpp0128339,FlyBase_Annotation_IDs:GF25147-PA,GB_protein:EDV39130,REFSEQ:XP_001956324,FlyMine:FBpp0128339; MD5=3bcae963368d15256a72619c5bb4039a; length=254; release=r1.3; species=Dana; 
FBpp0116536          -          CLIPB                -            4.4e-31  108.0   1.8   2.2e-30  105.7   1.8   1.8   1   1   0   1   1   1   1 type=protein; loc=scaffold_13266:12023032..12023814; ID=FBpp0116536; name=Dana\GF13344-PA; parent=FBgn0090376,FBtr0118044; dbxref=FlyBase:FBpp0116536,FlyBase_Annotation_IDs:GF13344-PA,GB_protein:EDV37223,REFSEQ:XP_001960401,FlyMine:FBpp0116536; MD5=7ad3a68f221e1c1726db9734cbd570ad; length=260; release=r1.3; species=Dana; 
FBpp0119324          -          CLIPB                -            4.7e-31  107.9   0.1   6.4e-31  107.5   0.1   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_13340:complement(21953693..21954532); ID=FBpp0119324; name=Dana\GF16132-PA; parent=FBgn0093154,FBtr0120832; dbxref=FlyBase:FBpp0119324,FlyBase_Annotation_IDs:GF16132-PA,GB_protein:EDV44219,REFSEQ:XP_001955658,FlyMine:FBpp0119324; MD5=805f4cba762dee9acb4aeb163e0ee4cf; length=279; release=r1.3; species=Dana; 
FBpp0128341          -          CLIPB                -            7.4e-31  107.3   0.0     6e-21   74.7   0.0   2.0   2   0   0   2   2   2   2 type=protein; loc=scaffold_13337:3883685..3884473; ID=FBpp0128341; name=Dana\GF25149-PA; parent=FBgn0102141,FBtr0129849; dbxref=FlyBase:FBpp0128341,FlyBase_Annotation_IDs:GF25149-PA,GB_protein:EDV39132,REFSEQ:XP_001956326,FlyMine:FBpp0128341; MD5=1543fa3400d1d720e6b1d145aa27e933; length=262; release=r1.3; species=Dana; 
FBpp0128340          -          CLIPB                -            1.9e-30  105.9   0.0     6e-21   74.7   0.0   2.0   2   0   0   2   2   2   2 type=protein; loc=scaffold_13337:3881529..3882317; ID=FBpp0128340; name=Dana\GF25148-PA; parent=FBgn0102140,FBtr0129848; dbxref=FlyBase:FBpp0128340,FlyBase_Annotation_IDs:GF25148-PA,GB_protein:EDV39131,REFSEQ:XP_001956325,FlyMine:FBpp0128340; MD5=1d382748a0ce963562dce5b3d34438a8; length=262; release=r1.3; species=Dana; 
FBpp0120930          -          CLIPB                -            3.2e-30  105.2   0.0   1.1e-29  103.4   0.0   1.7   1   1   0   1   1   1   1 type=protein; loc=scaffold_13340:join(4360818..4360884,4360935..4361521,4361580..4361741); ID=FBpp0120930; name=Dana\GF17738-PA; parent=FBgn0094756,FBtr0122438; dbxref=FlyBase:FBpp0120930,FlyBase_Annotation_IDs:GF17738-PA,GB_protein:EDV41968,REFSEQ:XP_001953385,FlyMine:FBpp0120930; MD5=f7b4f33ac22ec3709e05bc0183430f4f; length=271; release=r1.3; species=Dana; 
FBpp0126388          -          CLIPB                -            3.7e-30  104.9   0.0   4.3e-30  104.7   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_12911:join(2665654..2665666,2665808..2666157); ID=FBpp0126388; name=Dana\GF23196-PA; parent=FBgn0100190,FBtr0127896; dbxref=FlyBase:FBpp0126388,FlyBase_Annotation_IDs:GF23196-PA,GB_protein:EDV30268,REFSEQ:XP_001964472,FlyMine:FBpp0126388; MD5=48a22e3a914856bbf2ecae2aec9753d0; length=120; release=r1.3; species=Dana; 
FBpp0121510          -          CLIPB                -              1e-29  103.5   0.0   1.3e-29  103.2   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13340:join(13014303..13014480,13014537..13015237); ID=FBpp0121510; name=Dana\GF18318-PA; parent=FBgn0095336,FBtr0123018; dbxref=FlyBase:FBpp0121510,FlyBase_Annotation_IDs:GF18318-PA,GB_protein:EDV43101,REFSEQ:XP_001954540,FlyMine:FBpp0121510; MD5=d69c153bb5c6aedaefcee271a5e5d7a5; length=292; release=r1.3; species=Dana; 
FBpp0128338          -          CLIPB                -              1e-29  103.5   0.8   1.1e-28  100.1   0.8   1.9   1   1   0   1   1   1   1 type=protein; loc=scaffold_13337:join(3875043..3875065,3875123..3875822); ID=FBpp0128338; name=Dana\GF25146-PA; parent=FBgn0102138,FBtr0129846; dbxref=FlyBase:FBpp0128338,FlyBase_Annotation_IDs:GF25146-PA,GB_protein:EDV39129,REFSEQ:XP_001956323,FlyMine:FBpp0128338; MD5=3c018b3b6e63994bab67754dcfb90ee3; length=240; release=r1.3; species=Dana; 
FBpp0126944          -          CLIPB                -            1.4e-29  103.0   0.1   5.6e-20   71.5   0.0   2.0   2   0   0   2   2   2   2 type=protein; loc=scaffold_13337:complement(16734946..16735737); ID=FBpp0126944; name=Dana\GF23752-PA; parent=FBgn0100746,FBtr0128452; dbxref=FlyBase:FBpp0126944,FlyBase_Annotation_IDs:GF23752-PA,GB_protein:EDV40764,REFSEQ:XP_001957958,FlyMine:FBpp0126944; MD5=13af1b7c879b3bab927e77e82ad8b2eb; length=263; release=r1.3; species=Dana; 
FBpp0124726          -          CLIPB                -            2.6e-29  102.2   0.5   1.6e-28   99.6   0.5   1.8   1   1   0   1   1   1   1 type=protein; loc=scaffold_12943:complement(2694785..2695591); ID=FBpp0124726; name=Dana\GF21534-PA; parent=FBgn0098534,FBtr0126234; dbxref=FlyBase:FBpp0124726,FlyBase_Annotation_IDs:GF21534-PA,GB_protein:EDV33274,REFSEQ:XP_001965140,FlyMine:FBpp0124726; MD5=c6e06eb12fe96a3c125cab280319bd46; length=268; release=r1.3; species=Dana; 
FBpp0114447          -          CLIPB                -            1.5e-28   99.6   0.0   2.2e-28   99.1   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:complement(15856234..15856617,15856676..15856952,15857006..15857271); ID=FBpp0114447; name=Dana\GF11255-PA; parent=FBgn0088295,FBtr0115955; dbxref=FlyBase:FBpp0114447,FlyBase_Annotation_IDs:GF11255-PA,GB_protein:EDV37757,REFSEQ:XP_001960935,FlyMine:FBpp0114447; MD5=3cb6a5daf32773666602328f99827fcf; length=308; release=r1.3; species=Dana; 
FBpp0122896          -          CLIPB                -            1.6e-28   99.6   0.0   2.9e-28   98.7   0.0   1.3   1   1   0   1   1   1   1 type=protein; loc=scaffold_12916:6211143..6211898; ID=FBpp0122896; name=Dana\GF19704-PA; parent=FBgn0096711,FBtr0124404; dbxref=FlyBase:FBpp0122896,FlyBase_Annotation_IDs:GF19704-PA,GB_protein:EDV31305,REFSEQ:XP_001962084,FlyMine:FBpp0122896; MD5=3c02070f31f5fa52578545f752bda1e4; length=251; release=r1.3; species=Dana; 
FBpp0114506          -          CLIPB                -            2.1e-28   99.2   1.1   3.1e-28   98.6   1.1   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:complement(15203038..15203101,15203389..15204218); ID=FBpp0114506; name=Dana\GF11314-PA; parent=FBgn0088354,FBtr0116014; dbxref=FlyBase:FBpp0114506,FlyBase_Annotation_IDs:GF11314-PA,GB_protein:EDV37645,REFSEQ:XP_001960823,FlyMine:FBpp0114506; MD5=b455c9aa02cd9db996473ca45832cc07; length=297; release=r1.3; species=Dana; 
FBpp0124731          -          CLIPB                -            7.3e-28   97.4   0.9   1.9e-26   92.8   0.9   2.0   1   1   0   1   1   1   1 type=protein; loc=scaffold_12943:complement(2688043..2688819); ID=FBpp0124731; name=Dana\GF21539-PA; parent=FBgn0098539,FBtr0126239; dbxref=FlyBase:FBpp0124731,FlyBase_Annotation_IDs:GF21539-PA,GB_protein:EDV33271,REFSEQ:XP_001965137,FlyMine:FBpp0124731; MD5=65c6e1016cb93d0fe309ede24d30f277; length=258; release=r1.3; species=Dana; 
FBpp0124729          -          CLIPB                -            1.4e-27   96.5   0.8   3.4e-26   91.9   0.8   2.0   1   1   0   1   1   1   1 type=protein; loc=scaffold_12943:complement(2689958..2690734); ID=FBpp0124729; name=Dana\GF21537-PA; parent=FBgn0098537,FBtr0126237; dbxref=FlyBase:FBpp0124729,FlyBase_Annotation_IDs:GF21537-PA,GB_protein:EDV33272,REFSEQ:XP_001965138,FlyMine:FBpp0124729; MD5=d8b0b05bcf2525acfe0ce57582c16eba; length=258; release=r1.3; species=Dana; 
FBpp0126476          -          CLIPB                -            1.7e-27   96.2   0.2   3.2e-27   95.3   0.2   1.5   1   0   0   1   1   1   1 type=protein; loc=scaffold_12911:join(3908665..3908702,3908769..3908882,3908946..3909162,3909283..3909938,3910038..3910144,3924004..3924319,3924384..3924657,3924713..3925108); ID=FBpp0126476; name=Dana\GF23284-PA; parent=FBgn0100278,FBtr0127984; dbxref=FlyBase:FBpp0126476,FlyBase_Annotation_IDs:GF23284-PA,GB_protein:EDV30425,REFSEQ:XP_001964629,FlyMine:FBpp0126476; MD5=2654323f12ad0854c206de1127604958; length=705; release=r1.3; species=Dana; 
FBpp0125845          -          CLIPB                -            2.5e-27   95.7   0.0   5.3e-27   94.6   0.0   1.5   1   1   0   1   1   1   1 type=protein; loc=scaffold_13248:join(4192209..4192420,4193270..4193816); ID=FBpp0125845; name=Dana\GF22653-PA; parent=FBgn0099647,FBtr0127353; dbxref=FlyBase:FBpp0125845,FlyBase_Annotation_IDs:GF22653-PA,GB_protein:EDV35250,REFSEQ:XP_001965735,FlyMine:FBpp0125845; MD5=95c5d53520c302a911e30b6eeb2ea1f4; length=252; release=r1.3; species=Dana; 
FBpp0120921          -          CLIPB                -            6.5e-27   94.3   0.0   1.1e-26   93.5   0.0   1.3   1   1   0   1   1   1   1 type=protein; loc=scaffold_13340:join(4219282..4219860,4219914..4220120); ID=FBpp0120921; name=Dana\GF17729-PA; parent=FBgn0094747,FBtr0122429; dbxref=FlyBase:FBpp0120921,FlyBase_Annotation_IDs:GF17729-PA,GB_protein:EDV41953,REFSEQ:XP_001953370,FlyMine:FBpp0120921; MD5=9a17b0f44144853c8553d0859e56d6ab; length=261; release=r1.3; species=Dana; 
FBpp0127586          -          CLIPB                -            8.3e-27   93.9   0.2   5.6e-25   87.9   0.2   2.0   1   1   0   1   1   1   1 type=protein; loc=scaffold_13337:complement(7406870..7407652); ID=FBpp0127586; name=Dana\GF24394-PA; parent=FBgn0101388,FBtr0129094; dbxref=FlyBase:FBpp0127586,FlyBase_Annotation_IDs:GF24394-PA,GB_protein:EDV39603,REFSEQ:XP_001956797,FlyMine:FBpp0127586; MD5=dc51223d9f20fb46bce71f4e8209d464; length=260; release=r1.3; species=Dana; 
FBpp0114504          -          CLIPB                -            1.7e-26   92.9   2.3   2.2e-26   92.5   2.3   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:complement(15204420..15205253); ID=FBpp0114504; name=Dana\GF11312-PA; parent=FBgn0088352,FBtr0116012; dbxref=FlyBase:FBpp0114504,FlyBase_Annotation_IDs:GF11312-PA,GB_protein:EDV37646,REFSEQ:XP_001960824,FlyMine:FBpp0114504; MD5=7c353681b41efd966aa85a897493fa31; length=277; release=r1.3; species=Dana; 
FBpp0126477          -          CLIPB                -            2.7e-26   92.3   0.0   3.8e-26   91.8   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_12911:join(3926672..3926967,3927029..3927302,3927353..3927772); ID=FBpp0126477; name=Dana\GF23285-PA; parent=FBgn0100279,FBtr0127985; dbxref=FlyBase:FBpp0126477,FlyBase_Annotation_IDs:GF23285-PA,GB_protein:EDV30427,REFSEQ:XP_001964631,FlyMine:FBpp0126477; MD5=3e46b0c74cac356827e3cfb391c0729b; length=329; release=r1.3; species=Dana; 
FBpp0114218          -          CLIPB                -            3.4e-26   91.9   0.4   3.4e-26   91.9   0.4   1.8   2   0   0   2   2   1   1 type=protein; loc=scaffold_13266:complement(19250488..19250780,19250846..19251114,19251173..19251325,19251389..19252146,19258138..19258311,19260175..19260495); ID=FBpp0114218; name=Dana\GF11026-PA; parent=FBgn0088066,FBtr0115726; dbxref=FlyBase:FBpp0114218,FlyBase_Annotation_IDs:GF11026-PA,GB_protein:EDV38205,REFSEQ:XP_001961383,FlyMine:FBpp0114218; MD5=0b538ce4058c484ec7f61346bd76fd46; length=655; release=r1.3; species=Dana; 
FBpp0122895          -          CLIPB                -            5.5e-26   91.3   0.0   1.1e-24   87.0   0.0   2.0   1   1   0   1   1   1   1 type=protein; loc=scaffold_12916:6196400..6197140; ID=FBpp0122895; name=Dana\GF19703-PA; parent=FBgn0096710,FBtr0124403; dbxref=FlyBase:FBpp0122895,FlyBase_Annotation_IDs:GF19703-PA,GB_protein:EDV31302,REFSEQ:XP_001962081,FlyMine:FBpp0122895; MD5=86bc1308f70740f6be9b89a14f629b45; length=246; release=r1.3; species=Dana; 
FBpp0125483          -          CLIPB                -            1.1e-25   90.3   0.0   1.5e-25   89.8   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_13248:complement(4195086..4195626,4195936..4196153); ID=FBpp0125483; name=Dana\GF22291-PA; parent=FBgn0099289,FBtr0126991; dbxref=FlyBase:FBpp0125483,FlyBase_Annotation_IDs:GF22291-PA,GB_protein:EDV35251,REFSEQ:XP_001965736,FlyMine:FBpp0125483; MD5=3dd9a88ab08386c9448ef89457d1d1dd; length=252; release=r1.3; species=Dana; 
FBpp0125057          -          CLIPB                -            5.2e-25   88.0   0.0   9.7e-24   83.9   0.0   2.0   1   1   0   2   2   1   1 type=protein; loc=scaffold_13334:join(1397081..1397250,1397349..1397868); ID=FBpp0125057; name=Dana\GF21865-PA; parent=FBgn0098865,FBtr0126565; dbxref=FlyBase:FBpp0125057,FlyBase_Annotation_IDs:GF21865-PA,GB_protein:EDV38406,REFSEQ:XP_001967087,FlyMine:FBpp0125057; MD5=003f15a00d61018bbf36b6d647be21d3; length=229; release=r1.3; species=Dana; 
FBpp0127844          -          CLIPB                -            2.5e-24   85.8   0.6   2.9e-22   79.0   0.6   2.0   1   1   0   1   1   1   1 type=protein; loc=scaffold_13337:complement(3836010..3836765); ID=FBpp0127844; name=Dana\GF24652-PA; parent=FBgn0101645,FBtr0129352; dbxref=FlyBase:FBpp0127844,FlyBase_Annotation_IDs:GF24652-PA,GB_protein:EDV39122,REFSEQ:XP_001956316,FlyMine:FBpp0127844; MD5=33890e885e7630dd38510a6c7cb0a537; length=251; release=r1.3; species=Dana; 
FBpp0122886          -          CLIPB                -            3.3e-24   85.4   0.0   4.4e-24   85.0   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_12916:494474..495202; ID=FBpp0122886; name=Dana\GF19694-PA; parent=FBgn0096701,FBtr0124394; dbxref=FlyBase:FBpp0122886,FlyBase_Annotation_IDs:GF19694-PA,GB_protein:EDV30668,REFSEQ:XP_001961447,FlyMine:FBpp0122886; MD5=c4f4a9fe8d51fa523de08a86997ab0cb; length=242; release=r1.3; species=Dana; 
FBpp0125302          -          CLIPB                -            1.6e-23   83.2   0.0   2.7e-23   82.4   0.0   1.3   1   1   0   1   1   1   1 type=protein; loc=scaffold_12929:519739..520512; ID=FBpp0125302; name=Dana\GF22110-PA; parent=FBgn0099109,FBtr0126810; dbxref=FlyBase:FBpp0125302,FlyBase_Annotation_IDs:GF22110-PA,GB_protein:EDV32616,REFSEQ:XP_001966328,FlyMine:FBpp0125302; MD5=e5801081fa8f2ab5b82ffbc28e5ee11f; length=257; release=r1.3; species=Dana; 
FBpp0114502          -          CLIPB                -            1.9e-23   82.9   0.2   2.6e-23   82.5   0.2   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:complement(15207043..15207771,15212758..15212823); ID=FBpp0114502; name=Dana\GF11310-PA; parent=FBgn0088350,FBtr0116010; dbxref=FlyBase:FBpp0114502,FlyBase_Annotation_IDs:GF11310-PA,GB_protein:EDV37648,REFSEQ:XP_001960826,FlyMine:FBpp0114502; MD5=481af144ced4f6efab83350280a0fa3a; length=264; release=r1.3; species=Dana; 
FBpp0122507          -          CLIPB                -              4e-23   81.9   0.0   1.4e-22   80.0   0.0   1.7   2   0   0   2   2   1   1 type=protein; loc=scaffold_13137:complement(249829..249915,272878..273055,273444..274004,274080..274266,274466..274616,274674..274886); ID=FBpp0122507; name=Dana\GF19315-PA; parent=FBgn0096325,FBtr0124015; dbxref=FlyBase:FBpp0122507,FlyBase_Annotation_IDs:GF19315-PA,GB_protein:EDV34786,REFSEQ:XP_001967142,FlyMine:FBpp0122507; MD5=ac997e91651f0575a2cf9f78b262ac90; length=458; release=r1.3; species=Dana; 
FBpp0128342          -          CLIPB                -            5.4e-23   81.4   0.2   6.5e-23   81.1   0.2   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:join(3887712..3887723,3888216..3888650); ID=FBpp0128342; name=Dana\GF25150-PA; parent=FBgn0102142,FBtr0129850; dbxref=FlyBase:FBpp0128342,FlyBase_Annotation_IDs:GF25150-PA,GB_protein:EDV39133,REFSEQ:XP_001956327,FlyMine:FBpp0128342; MD5=717074047a15c86ffdb188bba28118b2; length=148; release=r1.3; species=Dana; 
FBpp0114503          -          CLIPB                -            1.2e-22   80.3   0.3   1.6e-22   79.8   0.3   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:complement(15205527..15206135,15206157..15206180); ID=FBpp0114503; name=Dana\GF11311-PA; parent=FBgn0088351,FBtr0116011; dbxref=FlyBase:FBpp0114503,FlyBase_Annotation_IDs:GF11311-PA,GB_protein:EDV37647,REFSEQ:XP_001960825,FlyMine:FBpp0114503; MD5=a16fbe40d7bd2e612fe32ae4184ded45; length=210; release=r1.3; species=Dana; 
FBpp0118117          -          CLIPB                -            1.9e-22   79.6   0.0   1.3e-21   76.9   0.0   1.9   1   1   0   1   1   1   1 type=protein; loc=scaffold_12916:complement(492724..493440); ID=FBpp0118117; name=Dana\GF14925-PA; parent=FBgn0091950,FBtr0119625; dbxref=FlyBase:FBpp0118117,FlyBase_Annotation_IDs:GF14925-PA,GB_protein:EDV30667,REFSEQ:XP_001961446,FlyMine:FBpp0118117; MD5=2d5952fb92fa49b9d6fcdc4a1af5898d; length=238; release=r1.3; species=Dana; 
FBpp0118163          -          CLIPB                -            3.8e-22   78.6   0.0   5.3e-21   74.8   0.0   2.0   1   1   0   1   1   1   1 type=protein; loc=scaffold_12916:511037..511753; ID=FBpp0118163; name=Dana\GF14971-PA; parent=FBgn0091996,FBtr0119671; dbxref=FlyBase:FBpp0118163,FlyBase_Annotation_IDs:GF14971-PA,GB_protein:EDV30670,REFSEQ:XP_001961449,FlyMine:FBpp0118163; MD5=3976e2ab94983ffc84ab24298de6fd14; length=238; release=r1.3; species=Dana; 
FBpp0113303          -          CLIPB                -            4.6e-22   78.3   0.0   5.6e-22   78.1   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:join(7403831..7403871,7405456..7405975); ID=FBpp0113303; name=Dana\GF10111-PA; parent=FBgn0087152,FBtr0114811; dbxref=FlyBase:FBpp0113303,FlyBase_Annotation_IDs:GF10111-PA,GB_protein:EDV39602,REFSEQ:XP_001956796,FlyMine:FBpp0113303; MD5=d9026d6581b6e9112f7e1806cd335c0c; length=186; release=r1.3; species=Dana; 
FBpp0113988          -          CLIPB                -            1.8e-21   76.4   0.0   2.8e-21   75.7   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:join(18525111..18525391,18525452..18525728,18525783..18526163); ID=FBpp0113988; name=Dana\GF10796-PA; parent=FBgn0087836,FBtr0115496; dbxref=FlyBase:FBpp0113988,FlyBase_Annotation_IDs:GF10796-PA,GB_protein:EDV40986,REFSEQ:XP_001958180,FlyMine:FBpp0113988; MD5=7d0aca3f1aa2873c1cc9fbd892d3e46a; length=312; release=r1.3; species=Dana; 
FBpp0126653          -          CLIPB                -            1.4e-20   73.4   0.0   3.2e-19   69.0   0.0   2.0   1   1   0   1   1   1   1 type=protein; loc=scaffold_13337:complement(22215544..22216314); ID=FBpp0126653; name=Dana\GF23461-PA; parent=FBgn0100455,FBtr0128161; dbxref=FlyBase:FBpp0126653,FlyBase_Annotation_IDs:GF23461-PA,GB_protein:EDV41355,REFSEQ:XP_001958549,FlyMine:FBpp0126653; MD5=15ff7fe8ec1a1a25bb4c81b8d9d6f02d; length=256; release=r1.3; species=Dana; 
FBpp0117808          -          CLIPB                -            2.8e-18   65.9   0.0   3.7e-18   65.5   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_12916:complement(6178932..6178984,6180427..6180946); ID=FBpp0117808; name=Dana\GF14616-PA; parent=FBgn0091643,FBtr0119316; dbxref=FlyBase:FBpp0117808,FlyBase_Annotation_IDs:GF14616-PA,GB_protein:EDV31299,REFSEQ:XP_001962078,FlyMine:FBpp0117808; MD5=a983ad716817dad745f2dfbb60ef41fa; length=190; release=r1.3; species=Dana; 
FBpp0123022          -          CLIPB                -            2.1e-17   63.1   0.2   2.6e-17   62.7   0.2   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:8544889..8545188; ID=FBpp0123022; name=Dana\GF19830-PA; parent=FBgn0096837,FBtr0124530; dbxref=FlyBase:FBpp0123022,FlyBase_Annotation_IDs:GF19830-PA,GB_protein:EDV36716,REFSEQ:XP_001959894,FlyMine:FBpp0123022; MD5=80240126b821ddb809a66505b1647437; length=99; release=r1.3; species=Dana; 
FBpp0114150          -          CLIPB                -            2.7e-17   62.7   0.2     3e-17   62.5   0.2   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:join(21515900..21516010,21516064..21516414); ID=FBpp0114150; name=Dana\GF10958-PA; parent=FBgn0087998,FBtr0115658; dbxref=FlyBase:FBpp0114150,FlyBase_Annotation_IDs:GF10958-PA,GB_protein:EDV41316,REFSEQ:XP_001958510,FlyMine:FBpp0114150; MD5=52c9425d04c8d38749d27baad0581e47; length=153; release=r1.3; species=Dana; 
