#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0074817          -          BGBP                 -           2.5e-135  452.4   0.0    3e-135  452.1   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:join(18676006..18676123,18676296..18677080,18677145..18677522,18677579..18677776); ID=FBpp0074817; name=GNBP1-PA; parent=FBgn0040323,FBtr0075050; dbxref=FlyBase:FBpp0074817,FlyBase_Annotation_IDs:CG6895-PA,GB_protein:AAF49244.1,REFSEQ:NP_524142,GB_protein:AAF49244,FlyMine:FBpp0074817,modMine:FBpp0074817; MD5=3319c8f13047af04e61708ace37337a8; length=492; release=r6.02; species=Dmel; 
FBpp0077252          -          CLIPA                -            6.8e-49  167.1   0.2   9.3e-49  166.7   0.2   1.1   1   0   0   1   1   1   1 type=protein; loc=2L:complement(join(3509795..3510072,3509172..3509727)); ID=FBpp0077252; name=CG31954-PA; parent=FBgn0051954,FBtr0077563; dbxref=FlyBase:FBpp0077252,FlyBase_Annotation_IDs:CG31954-PA,GB_protein:AAN10373.1,REFSEQ:NP_722915,GB_protein:AAN10373,FlyMine:FBpp0077252,modMine:FBpp0077252; MD5=c7a25cb9f940f805d586ad7a5b8098ec; length=277; release=r6.02; species=Dmel; 
FBpp0080908          -          CLIPA                -            8.7e-49  166.8   0.3     1e-48  166.5   0.3   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(20256154..20256930); ID=FBpp0080908; name=CG17571-PA; parent=FBgn0259998,FBtr0081376; dbxref=FlyBase:FBpp0080908,FlyBase_Annotation_IDs:CG17571-PA,GB_protein:AAF45447.1,REFSEQ:NP_610109,GB_protein:AAF45447,FlyMine:FBpp0080908,modMine:FBpp0080908; MD5=6c9ba33f1b642f52b06e49405e9cc97b; length=258; release=r6.02; species=Dmel; 
FBpp0311699          -          CLIPA                -            8.7e-49  166.8   0.3     1e-48  166.5   0.3   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(20256154..20256930); ID=FBpp0311699; name=CG17571-PB; parent=FBgn0259998,FBtr0345635; dbxref=FlyBase:FBpp0311699,FlyBase_Annotation_IDs:CG17571-PB,GB_protein:AHN54610,REFSEQ:NP_001286096; MD5=6c9ba33f1b642f52b06e49405e9cc97b; length=258; release=r6.02; species=Dmel; 
FBpp0084482          -          CLIPA                -            9.6e-49  166.6   1.1   1.3e-48  166.2   1.1   1.2   1   0   0   1   1   1   1 type=protein; loc=3R:join(27158039..27158117,27158192..27158364,27158631..27158844,27158903..27158951,27159008..27159201,27159265..27159689); ID=FBpp0084482; name=grass-PB; parent=FBgn0039494,FBtr0085112; dbxref=FlyBase:FBpp0084482,FlyBase_Annotation_IDs:CG5896-PB,GB_protein:AAF56675.1,REFSEQ:NP_651543,GB_protein:AAF56675,FlyMine:FBpp0084482,modMine:FBpp0084482; MD5=1669725b1c0e2a7a14828f1accad6d21; length=377; release=r6.02; species=Dmel; 
FBpp0086427          -          CLIPA                -            1.1e-48  166.5   0.1   1.4e-48  166.1   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:complement(15940701..15941483); ID=FBpp0086427; name=CG8299-PA; parent=FBgn0034052,FBtr0087291; dbxref=FlyBase:FBpp0086427,FlyBase_Annotation_IDs:CG8299-PA,GB_protein:AAF58092.1,REFSEQ:NP_611066,GB_protein:AAF58092,FlyMine:FBpp0086427,modMine:FBpp0086427; MD5=18bb12205d325484ef3efb98a7d035ef; length=260; release=r6.02; species=Dmel; 
FBpp0111913          -          CLIPA                -              2e-48  165.6   0.0   2.7e-48  165.2   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=X:complement(join(18482555..18482636,18482309..18482489,18481357..18482133,18481161..18481228,18480794..18481065,18480542..18480728,18480138..18480484)); ID=FBpp0111913; name=Hayan-PB; parent=FBgn0030925,FBtr0113000; dbxref=FlyBase:FBpp0111913,FlyBase_Annotation_IDs:CG6361-PB,REFSEQ:NP_001097020,GB_protein:ABW09449,FlyMine:FBpp0111913,modMine:FBpp0111913; MD5=b2bc5355f3cc4dcf04bfaba74955ebd1; length=637; release=r6.02; species=Dmel; 
FBpp0309794          -          CLIPA                -              2e-48  165.6   0.0   2.7e-48  165.2   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=X:complement(join(18482555..18482636,18482309..18482489,18481357..18482133,18481161..18481228,18480794..18481065,18480542..18480728,18480138..18480484)); ID=FBpp0309794; name=Hayan-PD; parent=FBgn0030925,FBtr0343048; dbxref=GB_protein:AGB95526,REFSEQ:NP_001259684,FlyBase:FBpp0309794,FlyBase_Annotation_IDs:CG6361-PD; MD5=b2bc5355f3cc4dcf04bfaba74955ebd1; length=637; release=r6.02; species=Dmel; 
FBpp0080715          -          CLIPA                -            2.6e-48  165.3   1.8   3.2e-48  164.9   1.8   1.1   1   0   0   1   1   1   1 type=protein; loc=2L:complement(join(19073952..19074024,19073308..19073682,19073106..19073214,19072831..19073015,19071424..19071725,19071192..19071305)); ID=FBpp0080715; name=CG17572-PA; parent=FBgn0032753,FBtr0081173; dbxref=FlyBase:FBpp0080715,FlyBase_Annotation_IDs:CG17572-PA,GB_protein:AAG22440.2,REFSEQ:NP_609941,GB_protein:AAG22440,FlyMine:FBpp0080715,modMine:FBpp0080715; MD5=4f0305cc27b70073001babb0ffeeefa4; length=385; release=r6.02; species=Dmel; 
FBpp0307430          -          CLIPA                -            3.8e-48  164.7   0.5   4.6e-48  164.4   0.5   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:complement(join(30731086..30731146,30730569..30731031,30729927..30730515)); ID=FBpp0307430; name=CG11313-PD; parent=FBgn0039798,FBtr0335452; dbxref=REFSEQ:NP_651821,GB_protein:AAF57079,FlyBase:FBpp0307430,FlyBase_Annotation_IDs:CG11313-PD; MD5=eeb5301983c372977adf326b0811746d; length=370; release=r6.02; species=Dmel; 
FBpp0099932          -          CLIPA                -            4.6e-48  164.4   0.1   5.6e-48  164.1   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:complement(20550504..20551307); ID=FBpp0099932; name=CG13430-PA; parent=FBgn0034518,FBtr0100495; dbxref=FlyBase_Annotation_IDs:CG13430-PA,FlyBase:FBpp0099932,GB_protein:AAF57458.1,REFSEQ:NP_001027442,GB_protein:AAF57458; MD5=fc0bc0d2e35dd1034365b979f42122b4; length=267; release=r6.02; species=Dmel; 
FBpp0099934          -          CLIPA                -            4.6e-48  164.4   0.1   5.6e-48  164.1   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:complement(20550504..20551307); ID=FBpp0099934; name=CG13430-PB; parent=FBgn0034518,FBtr0100496; dbxref=FlyBase_Annotation_IDs:CG13430-PB,FlyBase:FBpp0099934,GB_protein:AAF57457.3,REFSEQ:NP_001027441,GB_protein:AAF57457,FlyMine:FBpp0099934,modMine:FBpp0099934; MD5=fc0bc0d2e35dd1034365b979f42122b4; length=267; release=r6.02; species=Dmel; 
FBpp0084481          -          CLIPA                -              5e-48  164.3   0.6   6.8e-48  163.9   0.6   1.2   1   0   0   1   1   1   1 type=protein; loc=3R:join(27158239..27158364,27158631..27158844,27158903..27158951,27159008..27159201,27159265..27159689); ID=FBpp0084481; name=grass-PA; parent=FBgn0039494,FBtr0085111; dbxref=FlyBase:FBpp0084481,FlyBase_Annotation_IDs:CG5896-PA,GB_protein:AAF56676.1,REFSEQ:NP_733197,GB_protein:AAF56676,FlyMine:FBpp0084481,modMine:FBpp0084481; MD5=07aa8c9a7e1b55a31f32ac7850d5c882; length=335; release=r6.02; species=Dmel; 
FBpp0084484          -          CLIPA                -            6.7e-48  163.9   3.8     1e-47  163.3   3.8   1.3   1   0   0   1   1   1   1 type=protein; loc=3R:join(27161335..27161398,27161455..27161615,27161740..27162059,27162179..27162779); ID=FBpp0084484; name=CG5909-PA; parent=FBgn0039495,FBtr0085114; dbxref=FlyBase:FBpp0084484,FlyBase_Annotation_IDs:CG5909-PA,GB_protein:AAF56677.1,REFSEQ:NP_651544,GB_protein:AAF56677,FlyMine:FBpp0084484,modMine:FBpp0084484; MD5=7cf9475022d007707fa0185023d02796; length=381; release=r6.02; species=Dmel; 
FBpp0291554          -          CLIPA                -            4.9e-47  161.0   0.3   6.8e-47  160.6   0.3   1.2   1   0   0   1   1   1   1 type=protein; loc=3R:join(19648841..19648910,19649448..19650057,19650121..19650532); ID=FBpp0291554; name=CG31220-PB; parent=FBgn0051220,FBtr0302358; dbxref=FlyBase:FBpp0291554,FlyBase_Annotation_IDs:CG31220-PB,REFSEQ:NP_732440,GB_protein:AAN13805,FlyMine:FBpp0291554,modMine:FBpp0291554; MD5=b88982b742ce5a124ac65b8aac22902f; length=363; release=r6.02; species=Dmel; 
FBpp0084730          -          CLIPA                -            7.3e-47  160.5   0.0   8.8e-47  160.2   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:join(29051071..29051167,29051222..29051492,29051575..29052166); ID=FBpp0084730; name=CG11841-PA; parent=FBgn0039628,FBtr0085361; dbxref=FlyBase:FBpp0084730,FlyBase_Annotation_IDs:CG11841-PA,GB_protein:AAF56848.1,REFSEQ:NP_651661,GB_protein:AAF56848,FlyMine:FBpp0084730,modMine:FBpp0084730; MD5=c1dbff9ed5c215325ca36aa94a6807ed; length=319; release=r6.02; species=Dmel; 
FBpp0288561          -          CLIPA                -            8.5e-47  160.3   0.0   1.1e-46  159.9   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:complement(20354214..20355053); ID=FBpp0288561; name=CG11192-PB; parent=FBgn0034507,FBtr0290122; dbxref=FlyBase:FBpp0288561,FlyBase_Annotation_IDs:CG11192-PB,REFSEQ:NP_611479,GB_protein:AAF57469,FlyMine:FBpp0288561,modMine:FBpp0288561; MD5=fcabebbe6631033ac75489425d22658f; length=279; release=r6.02; species=Dmel; 
FBpp0088629          -          CLIPA                -            1.5e-46  159.4   0.0     2e-46  159.0   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:complement(join(4242338..4242695,4242158..4242273,4241978..4242087,4241755..4241919,4241269..4241698)); ID=FBpp0088629; name=CG14642-PB; parent=FBgn0037222,FBtr0089687; dbxref=FlyBase:FBpp0088629,FlyBase_Annotation_IDs:CG14642-PB,GB_protein:AAF52161.1,REFSEQ:NP_730791,GB_protein:AAF52161,FlyMine:FBpp0088629,modMine:FBpp0088629; MD5=7b4df4ad8a6b877ed30b99b6db97b1c4; length=392; release=r6.02; species=Dmel; 
FBpp0301197          -          CLIPA                -            1.5e-46  159.4   0.0     2e-46  159.0   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:complement(join(4242338..4242695,4242158..4242273,4241978..4242087,4241755..4241919,4241269..4241698)); ID=FBpp0301197; name=CG14642-PC; parent=FBgn0037222,FBtr0309258; dbxref=FlyBase:FBpp0301197,FlyBase_Annotation_IDs:CG14642-PC,REFSEQ:NP_001246901,GB_protein:AFH06220; MD5=7b4df4ad8a6b877ed30b99b6db97b1c4; length=392; release=r6.02; species=Dmel; 
FBpp0289348          -          CLIPA                -            1.7e-45  155.9   0.0   2.3e-45  155.6   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=3R:join(13042092..13042240,13042322..13042643,13042885..13042994,13043251..13043668,13043722..13043851,13043921..13044006); ID=FBpp0289348; name=CG11670-PD; parent=FBgn0038114,FBtr0300071; dbxref=FlyBase:FBpp0289348,FlyBase_Annotation_IDs:CG11670-PD,REFSEQ:NP_001097767,GB_protein:ABW08658,FlyMine:FBpp0289348,modMine:FBpp0289348; MD5=ec817ac6ef352c032e40bc11b65702d9; length=404; release=r6.02; species=Dmel; 
FBpp0087223          -          CLIPA                -            1.8e-45  155.9   0.9   2.3e-45  155.5   0.9   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:11346342..11347103; ID=FBpp0087223; name=betaTry-PA; parent=FBgn0010357,FBtr0088122; dbxref=GB_protein:AAF58658.2,FlyBase:FBpp0087223,FlyBase_Annotation_IDs:CG18211-PA,REFSEQ:NP_524904,GB_protein:AAF58658,FlyMine:FBpp0087223,modMine:FBpp0087223; MD5=380a5cdfa1fd7a783898081932c98de1; length=253; release=r6.02; species=Dmel; 
FBpp0311842          -          CLIPA                -            1.8e-45  155.9   0.9   2.3e-45  155.5   0.9   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:11346342..11347103; ID=FBpp0311842; name=betaTry-PB; parent=FBgn0010357,FBtr0345928; dbxref=FlyBase:FBpp0311842,FlyBase_Annotation_IDs:CG18211-PB,GB_protein:AHN56112,REFSEQ:NP_001286314; MD5=380a5cdfa1fd7a783898081932c98de1; length=253; release=r6.02; species=Dmel; 
FBpp0087257          -          CLIPA                -              4e-45  154.8   2.0   5.2e-45  154.4   2.0   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:complement(11344322..11345092); ID=FBpp0087257; name=alphaTry-PA; parent=FBgn0003863,FBtr0088161; dbxref=GB_protein:AAF58659.1,FlyBase:FBpp0087257,FlyBase_Annotation_IDs:CG18444-PA,REFSEQ:NP_476771,GB_protein:AAF58659,FlyMine:FBpp0087257,modMine:FBpp0087257; MD5=d5db5668e0324b939c93452e728ccd4d; length=256; release=r6.02; species=Dmel; 
FBpp0300968          -          CLIPA                -            8.1e-45  153.7   1.6   1.1e-44  153.4   1.6   1.1   1   0   0   1   1   1   1 type=protein; loc=3L:join(18863721..18863787,18864256..18864594,18864908..18865203,18865266..18865421); ID=FBpp0300968; name=CG6865-PB; parent=FBgn0036817,FBtr0308811; dbxref=FlyBase:FBpp0300968,FlyBase_Annotation_IDs:CG6865-PB,REFSEQ:NP_001246825,GB_protein:AFH04496; MD5=ef5a7967c449601595ad4f47ab126f74; length=285; release=r6.02; species=Dmel; 
FBpp0099998          -          CLIPA                -            9.3e-45  153.6   1.1   1.4e-44  153.0   1.1   1.2   1   0   0   1   1   1   1 type=protein; loc=2R:join(16572108..16572369,16572442..16572649,16573202..16573820); ID=FBpp0099998; name=CG4927-PC; parent=FBgn0034139,FBtr0100547; dbxref=FlyBase_Annotation_IDs:CG4927-PC,FlyBase:FBpp0099998,GB_protein:AAF57983.2,REFSEQ:NP_001033953,GB_protein:AAF57983,FlyMine:FBpp0099998,modMine:FBpp0099998; MD5=482f975c7d5f056377ae63ec49ff60de; length=362; release=r6.02; species=Dmel; 
FBpp0070282          -          CLIPA                -            1.2e-44  153.2   0.0   1.5e-44  152.9   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=X:complement(join(1469161..1469646,1468730..1469098)); ID=FBpp0070282; name=CG32808-PA; parent=FBgn0052808,FBtr0070295; dbxref=FlyBase:FBpp0070282,FlyBase_Annotation_IDs:CG32808-PA,GB_protein:AAN09048.1,REFSEQ:NP_726740,GB_protein:AAN09048,FlyMine:FBpp0070282,modMine:FBpp0070282; MD5=bfd20e1abace08850d49d28db90a94c9; length=284; release=r6.02; species=Dmel; 
FBpp0084732          -          CLIPA                -              2e-44  152.4   0.0   2.4e-44  152.2   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:join(29054548..29054632,29054773..29055046,29055101..29055416,29055491..29055766); ID=FBpp0084732; name=CG11843-PA; parent=FBgn0039630,FBtr0085363; dbxref=FlyBase:FBpp0084732,FlyBase_Annotation_IDs:CG11843-PA,GB_protein:AAF56850.1,REFSEQ:NP_651663,GB_protein:AAF56850,FlyMine:FBpp0084732,modMine:FBpp0084732; MD5=850c5ae415fc28c691d3d46b7b54b3f0; length=316; release=r6.02; species=Dmel; 
FBpp0311966          -          CLIPA                -              2e-44  152.4   0.0   2.4e-44  152.2   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:join(29054548..29054632,29054773..29055046,29055101..29055416,29055491..29055766); ID=FBpp0311966; name=CG11843-PB; parent=FBgn0039630,FBtr0346138; dbxref=FlyBase:FBpp0311966,FlyBase_Annotation_IDs:CG11843-PB,GB_protein:AHN57577,REFSEQ:NP_001287578; MD5=850c5ae415fc28c691d3d46b7b54b3f0; length=316; release=r6.02; species=Dmel; 
FBpp0082184          -          CLIPA                -            2.2e-44  152.3   0.2   2.6e-44  152.1   0.2   1.1   1   0   0   1   1   1   1 type=protein; loc=3R:complement(join(13041603..13041681,13041158..13041538,13040840..13041101,13040199..13040784)); ID=FBpp0082184; name=snk-PA; parent=FBgn0003450,FBtr0082716; dbxref=FlyBase:FBpp0082184,FlyBase_Annotation_IDs:CG7996-PA,GB_protein:AAF54897.1,REFSEQ:NP_524338,GB_protein:AAF54897,FlyMine:FBpp0082184,modMine:FBpp0082184; MD5=5438fc4a1d9d36381aa58bbf2ad97cad; length=435; release=r6.02; species=Dmel; 
FBpp0111746          -          CLIPA                -            2.2e-44  152.3   0.2   2.6e-44  152.1   0.2   1.1   1   0   0   1   1   1   1 type=protein; loc=3R:complement(join(13041603..13041681,13041158..13041538,13040840..13041101,13040199..13040784)); ID=FBpp0111746; name=snk-PB; parent=FBgn0003450,FBtr0112833; dbxref=FlyBase:FBpp0111746,FlyBase_Annotation_IDs:CG7996-PB,REFSEQ:NP_001097766,GB_protein:ABW08657; MD5=5438fc4a1d9d36381aa58bbf2ad97cad; length=435; release=r6.02; species=Dmel; 
FBpp0074400          -          CLIPA                -            4.9e-44  151.2   0.4   6.2e-44  150.8   0.4   1.1   1   0   0   1   1   1   1 type=protein; loc=X:complement(join(18486063..18486138,18485813..18485996,18485645..18485754,18485296..18485579,18485054..18485237,18484649..18484995)); ID=FBpp0074400; name=psh-PA; parent=FBgn0030926,FBtr0074629; dbxref=FlyBase:FBpp0074400,FlyBase_Annotation_IDs:CG6367-PA,GB_protein:AAF48846.1,REFSEQ:NP_573297,GB_protein:AAF48846,FlyMine:FBpp0074400,modMine:FBpp0074400; MD5=a6bd3e0b0d4f733a7dc3cb66b1c1fc80; length=394; release=r6.02; species=Dmel; 
FBpp0087254          -          CLIPA                -            5.1e-44  151.1   1.6   6.5e-44  150.8   1.6   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:complement(11353598..11354359); ID=FBpp0087254; name=CG30025-PA; parent=FBgn0050025,FBtr0088158; dbxref=FlyBase:FBpp0087254,FlyBase_Annotation_IDs:CG30025-PA,GB_protein:AAM68732.1,REFSEQ:NP_725036,GB_protein:AAM68732,FlyMine:FBpp0087254,modMine:FBpp0087254; MD5=92ca47db4d5eb29fab0ae4d0205a96da; length=253; release=r6.02; species=Dmel; 
FBpp0087224          -          CLIPA                -            5.4e-44  151.0   1.5   6.9e-44  150.7   1.5   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:11350827..11351588; ID=FBpp0087224; name=CG30031-PA; parent=FBgn0050031,FBtr0088123; dbxref=FlyBase:FBpp0087224,FlyBase_Annotation_IDs:CG30031-PA,GB_protein:AAM68731.1,REFSEQ:NP_725035,GB_protein:AAM68731; MD5=a75f4547618c6fad0c13b6298d52afda; length=253; release=r6.02; species=Dmel; 
FBpp0087225          -          CLIPA                -            5.4e-44  151.0   1.5   6.9e-44  150.7   1.5   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:11355333..11356094; ID=FBpp0087225; name=deltaTry-PA; parent=FBgn0010358,FBtr0088124; dbxref=FlyBase:FBpp0087225,FlyBase_Annotation_IDs:CG12351-PA,GB_protein:AAF58657.2,REFSEQ:NP_523694,GB_protein:AAF58657; MD5=a75f4547618c6fad0c13b6298d52afda; length=253; release=r6.02; species=Dmel; 
FBpp0087255          -          CLIPA                -            5.4e-44  151.0   1.5   6.9e-44  150.7   1.5   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:complement(11349094..11349855); ID=FBpp0087255; name=gammaTry-PA; parent=FBgn0010359,FBtr0088159; dbxref=GB_protein:AAM68730.1,FlyBase:FBpp0087255,FlyBase_Annotation_IDs:CG30028-PA,REFSEQ:NP_725034,GB_protein:AAM68730,FlyMine:FBpp0087255,modMine:FBpp0087255; MD5=a75f4547618c6fad0c13b6298d52afda; length=253; release=r6.02; species=Dmel; 
FBpp0112312          -          CLIPA                -            5.6e-44  151.0   0.0   1.3e-43  149.8   0.0   1.6   1   1   0   1   1   1   1 type=protein; loc=3R:join(19651030..19651099,19651262..19651829,19651942..19652341); ID=FBpp0112312; name=CG31219-PB; parent=FBgn0051219,FBtr0113400; dbxref=FlyBase:FBpp0112312,FlyBase_Annotation_IDs:CG31219-PB,REFSEQ:NP_001097837,GB_protein:ABW08702,FlyMine:FBpp0112312,modMine:FBpp0112312; MD5=174a7ac2413058851745fa771c21a406; length=345; release=r6.02; species=Dmel; 
FBpp0082425          -          CLIPA                -            5.9e-44  150.9   0.1   3.8e-43  148.3   0.1   1.8   1   1   0   1   1   1   1 type=protein; loc=3R:join(14657498..14657555,14657644..14657822,14658260..14658407,14658480..14659177); ID=FBpp0082425; name=CG3505-PA; parent=FBgn0038250,FBtr0082966; dbxref=FlyBase:FBpp0082425,FlyBase_Annotation_IDs:CG3505-PA,GB_protein:AAF55084.2,REFSEQ:NP_650380,GB_protein:AAF55084,FlyMine:FBpp0082425,modMine:FBpp0082425; MD5=4456bef46b54a5191e09e42cf9c71fb8; length=360; release=r6.02; species=Dmel; 
FBpp0086075          -          CLIPA                -            6.9e-44  150.7   2.0   3.1e-37  128.8   0.0   3.3   2   1   0   2   2   2   2 type=protein; loc=2R:join(17453422..17453632,17453896..17453941,17454029..17454174,17454227..17454832,17454909..17454957,17455053..17455189,17455248..17455624); ID=FBpp0086075; name=CG10764-PA; parent=FBgn0034221,FBtr0086919; dbxref=FlyBase:FBpp0086075,FlyBase_Annotation_IDs:CG10764-PA,GB_protein:AAF57862.2,REFSEQ:NP_611213,GB_protein:AAF57862,FlyMine:FBpp0086075,modMine:FBpp0086075; MD5=6670bcabf4b89c4909e436624d7de213; length=523; release=r6.02; species=Dmel; 
FBpp0087222          -          CLIPA                -            1.4e-43  149.7   0.1   1.9e-43  149.3   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:11336860..11337678; ID=FBpp0087222; name=lambdaTry-PA; parent=FBgn0043470,FBtr0088121; dbxref=FlyBase:FBpp0087222,FlyBase_Annotation_IDs:CG12350-PA,GB_protein:AAF58665.1,REFSEQ:NP_610673,GB_protein:AAF58665,FlyMine:FBpp0087222,modMine:FBpp0087222; MD5=1ad5258fae2c60255d23e26018771bef; length=272; release=r6.02; species=Dmel; 
FBpp0311467          -          CLIPA                -            1.6e-43  149.5  15.1   1.2e-42  146.6  15.1   2.1   1   1   0   1   1   1   1 type=protein; loc=3R:complement(join(23721361..23721424,23721001..23721177,23720770..23720940,23720576..23720713,23719940..23720519,23719476..23719875)); ID=FBpp0311467; name=CG10232-PD; parent=FBgn0039108,FBtr0345300; dbxref=FlyBase:FBpp0311467,FlyBase_Annotation_IDs:CG10232-PD,GB_protein:AAF56169,REFSEQ:NP_651175; MD5=4bdc53091bee752d2eeeea24e06326d8; length=509; release=r6.02; species=Dmel; 
FBpp0071614          -          CLIPA                -            1.8e-43  149.3   0.1   2.5e-43  148.9   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:complement(join(21521617..21521833,21521178..21521402,21520611..21521119)); ID=FBpp0071614; name=CG30289-PA; parent=FBgn0050289,FBtr0071697; dbxref=FlyBase:FBpp0071614,FlyBase_Annotation_IDs:CG30289-PA,GB_protein:AAM70918.2,REFSEQ:NP_726081,GB_protein:AAM70918,FlyMine:FBpp0071614,modMine:FBpp0071614; MD5=549ca02c475de66fac5a0c02a525776b; length=316; release=r6.02; species=Dmel; 
FBpp0084731          -          CLIPA                -            2.9e-43  148.6   0.0   3.7e-43  148.3   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:join(29052701..29052800,29052852..29053122,29053188..29053776); ID=FBpp0084731; name=CG11842-PA; parent=FBgn0039629,FBtr0085362; dbxref=FlyBase:FBpp0084731,FlyBase_Annotation_IDs:CG11842-PA,GB_protein:AAF56849.1,REFSEQ:NP_651662,GB_protein:AAF56849,FlyMine:FBpp0084731,modMine:FBpp0084731; MD5=f6acc991d0c834ea0003031f735d6d91; length=319; release=r6.02; species=Dmel; 
FBpp0082218          -          CLIPA                -            1.7e-42  146.1   0.2   4.2e-42  144.8   0.2   1.5   1   1   0   1   1   1   1 type=protein; loc=3R:join(13380140..13380212,13380269..13380818,13380896..13381343); ID=FBpp0082218; name=CG8870-PA; parent=FBgn0038144,FBtr0082750; dbxref=FlyBase:FBpp0082218,FlyBase_Annotation_IDs:CG8870-PA,GB_protein:AAF54938.2,REFSEQ:NP_731802,GB_protein:AAF54938,FlyMine:FBpp0082218,modMine:FBpp0082218; MD5=ef782f91abda193996f5f8266788075d; length=356; release=r6.02; species=Dmel; 
FBpp0087259          -          CLIPA                -            3.7e-42  145.0   0.2   4.4e-42  144.8   0.2   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:complement(11340635..11341423); ID=FBpp0087259; name=etaTry-PA; parent=FBgn0011554,FBtr0088163; dbxref=FlyBase:FBpp0087259,FlyBase_Annotation_IDs:CG12386-PA,GB_protein:AAF58662.1,REFSEQ:NP_523692,GB_protein:AAF58662,FlyMine:FBpp0087259,modMine:FBpp0087259; MD5=001b2a69a189e462c13b2f0bd239fe44; length=262; release=r6.02; species=Dmel; 
FBpp0076752          -          CLIPA                -            3.9e-42  145.0   0.0   5.5e-42  144.5   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=3L:join(6059946..6060454,6060513..6060688,6060747..6061378); ID=FBpp0076752; name=CG6592-PA; parent=FBgn0035669,FBtr0077044; dbxref=FlyBase:FBpp0076752,FlyBase_Annotation_IDs:CG6592-PA,GB_protein:AAF50709.1,REFSEQ:NP_648016,GB_protein:AAF50709,FlyMine:FBpp0076752,modMine:FBpp0076752; MD5=027ae506a71839e2d6fc59cd8d8252c4; length=438; release=r6.02; species=Dmel; 
FBpp0290270          -          CLIPA                -            4.5e-42  144.7   6.3   2.8e-31  109.3   0.1   3.7   2   1   0   2   2   2   2 type=protein; loc=2R:complement(join(15820887..15821085,15820772..15820817,15820557..15820720,15819949..15820467,15819844..15819892,15819645..15819772,15819228..15819589)); ID=FBpp0290270; name=CG33465-PC; parent=FBgn0053465,FBtr0301048; dbxref=REFSEQ:NP_001033950,GB_protein:ABC66116,FlyBase:FBpp0290270,FlyBase_Annotation_IDs:CG33465-PC,FlyMine:FBpp0290270,modMine:FBpp0290270; MD5=22f73c872cee40ed1e3161ccd4a99a4a; length=488; release=r6.02; species=Dmel; 
FBpp0086417          -          CLIPA                -            8.5e-42  143.8   0.8   1.1e-41  143.4   0.8   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:join(15689848..15690064,15690121..15690166,15690254..15690432,15690480..15690913); ID=FBpp0086417; name=CG30090-PA; parent=FBgn0050090,FBtr0087279; dbxref=GB_protein:AAM70958.1,FlyBase:FBpp0086417,FlyBase_Annotation_IDs:CG30090-PA,REFSEQ:NP_725487,GB_protein:AAM70958,FlyMine:FBpp0086417,modMine:FBpp0086417; MD5=901c1ff366c436aaebb0d1b4bc4b227b; length=291; release=r6.02; species=Dmel; 
FBpp0071174          -          CLIPA                -            9.6e-42  143.7   0.1   1.2e-41  143.3   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=X:complement(join(8572828..8572906,8572459..8572713,8572091..8572307,8571338..8571968)); ID=FBpp0071174; name=spirit-PB; parent=FBgn0030051,FBtr0071230; dbxref=FlyBase:FBpp0071174,FlyBase_Annotation_IDs:CG2056-PB,GB_protein:AAF46392.1,REFSEQ:NP_727276,GB_protein:AAF46392; MD5=45511ba498cf5e795f69db5fe74c9daf; length=393; release=r6.02; species=Dmel; 
