#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0275484          -          BGBP                 -           2.8e-126  421.7   0.0  3.5e-126  421.4   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=XR_group6:join(11579122..11579248,11579310..11580484,11580551..11580748); ID=FBpp0275484; name=Dpse\GA19936-PA; parent=FBgn0079932,FBtr0277046; dbxref=FlyBase:FBpp0275484,FlyBase_Annotation_IDs:GA19936-PA,GB_protein:EAL29729,REFSEQ:XP_001353993,FlyMine:FBpp0275484,modMine:FBpp0275484; MD5=9f0905dd479084674a581a4a75b0c605; length=499; release=r3.2; species=Dpse; 
FBpp0277565          -          CLIPA                -              3e-23   82.1   0.0   4.5e-23   81.5   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=3:join(4130008..4130219,4130273..4130549,4130610..4130954); ID=FBpp0277565; name=Dpse\GA24700-PA; parent=FBgn0246086,FBtr0279127; dbxref=FlyBase:FBpp0277565,FlyBase_Annotation_IDs:GA24700-PA,GB_protein:EDY68886,REFSEQ:XP_002138328,FlyMine:FBpp0277565,modMine:FBpp0277565; MD5=42f96aa62023661ee8656015d9b02dfe; length=277; release=r3.2; species=Dpse; 
FBpp0287913          -          CLIPA                -            3.1e-23   82.1   0.1   3.3e-23   81.9   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=4_group4:4384728..4384952; ID=FBpp0287913; name=Dpse\GA29034-PA; parent=FBgn0250392,FBtr0289475; dbxref=FlyBase:FBpp0287913,FlyBase_Annotation_IDs:GA29034-PA,GB_protein:EDY70575,REFSEQ:XP_002133173,FlyMine:FBpp0287913,modMine:FBpp0287913; MD5=47b4d8d6bc9f1b9aad38982c49ae0649; length=74; release=r3.2; species=Dpse; 
FBpp0281451          -          CLIPA                -            2.8e-22   78.9   0.0   3.6e-22   78.5   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=2:complement(22991464..22991628,22991701..22992360); ID=FBpp0281451; name=Dpse\GA10028-PA; parent=FBgn0070087,FBtr0283013; dbxref=FlyBase:FBpp0281451,FlyBase_Annotation_IDs:GA10028-PA,GB_protein:EAL28651,REFSEQ:XP_001359505,FlyMine:FBpp0281451,modMine:FBpp0281451; MD5=34bc3a9a55b7c6272e214bbcb6eadd48; length=274; release=r3.2; species=Dpse; 
FBpp0273549          -          CLIPA                -            2.9e-22   78.8   0.1   3.7e-22   78.5   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=XL_group1a:join(6751898..6752127,6752207..6752735); ID=FBpp0273549; name=Dpse\GA23050-PA; parent=FBgn0244452,FBtr0275111; dbxref=FlyBase:FBpp0273549,FlyBase_Annotation_IDs:GA23050-PA,GB_protein:EDY72353,REFSEQ:XP_002133726,FlyMine:FBpp0273549,modMine:FBpp0273549; MD5=f24c4aa3268bfdc703f67e7c683b24cf; length=252; release=r3.2; species=Dpse; 
FBpp0278707          -          CLIPA                -              3e-22   78.8   1.1   9.7e-18   64.0   0.0   2.1   2   0   0   2   2   2   2 type=protein; loc=3:17757687..17758523; ID=FBpp0278707; name=Dpse\GA25104-PA; parent=FBgn0246487,FBtr0280269; dbxref=FlyBase:FBpp0278707,FlyBase_Annotation_IDs:GA25104-PA,GB_protein:EDY69525,REFSEQ:XP_002138967,FlyMine:FBpp0278707,modMine:FBpp0278707; MD5=547176bd980096356510373d4e82dba8; length=278; release=r3.2; species=Dpse; 
FBpp0273548          -          CLIPA                -            5.9e-22   77.8   0.1   8.4e-22   77.3   0.1   1.2   1   0   0   1   1   1   1 type=protein; loc=XL_group1a:join(6749587..6749816,6749886..6750441); ID=FBpp0273548; name=Dpse\GA21955-PA; parent=FBgn0081940,FBtr0275110; dbxref=FlyBase:FBpp0273548,FlyBase_Annotation_IDs:GA21955-PA,GB_protein:EAL32659,REFSEQ:XP_001355600,FlyMine:FBpp0273548,modMine:FBpp0273548; MD5=5970da40e6ce18df9e506e661b0ae8f2; length=261; release=r3.2; species=Dpse; 
FBpp0278734          -          CLIPA                -            6.7e-22   77.7   0.0   9.5e-22   77.2   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=3:join(18362598..18362860,18362935..18363214,18363293..18363673); ID=FBpp0278734; name=Dpse\GA25114-PA; parent=FBgn0246497,FBtr0280296; dbxref=FlyBase:FBpp0278734,FlyBase_Annotation_IDs:GA25114-PA,GB_protein:EDY69542,REFSEQ:XP_002138984,FlyMine:FBpp0278734,modMine:FBpp0278734; MD5=41fe3da3fcfdf70d596d09ecab30f33f; length=307; release=r3.2; species=Dpse; 
FBpp0285993          -          CLIPA                -            7.3e-22   77.5   0.4     1e-21   77.1   0.4   1.1   1   0   0   1   1   1   1 type=protein; loc=XR_group8:complement(8577794..8578579); ID=FBpp0285993; name=Dpse\GA14830-PA; parent=FBgn0074857,FBtr0287555; dbxref=FlyBase:FBpp0285993,FlyBase_Annotation_IDs:GA14830-PA,GB_protein:EAL30577,REFSEQ:XP_001353076,FlyMine:FBpp0285993,modMine:FBpp0285993; MD5=0fb240af598b592c311b308743c418c3; length=261; release=r3.2; species=Dpse; 
FBpp0283960          -          CLIPA                -            1.4e-21   76.6   6.4   2.3e-14   52.9   0.6   2.3   2   0   0   2   2   2   2 type=protein; loc=XL_group1e:complement(1967788..1967967,1970321..1971428,1971498..1971699,1971774..1972612,1972687..1972897,1972969..1973431,1975447..1975659,1985667..1985699); ID=FBpp0283960; name=Dpse\GA14059-PA; parent=FBgn0074090,FBtr0285522; dbxref=FlyBase:FBpp0283960,FlyBase_Annotation_IDs:GA14059-PA,GB_protein:EAL31688,REFSEQ:XP_001354633,FlyMine:FBpp0283960,modMine:FBpp0283960; MD5=946f6bf09940004f14caa66ec2ec42b0; length=1082; release=r3.2; species=Dpse; 
FBpp0279639          -          CLIPA                -            2.3e-21   75.9   0.0   2.9e-21   75.6   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2:4991432..4992199; ID=FBpp0279639; name=Dpse\GA25576-PA; parent=FBgn0246953,FBtr0281201; dbxref=FlyBase:FBpp0279639,FlyBase_Annotation_IDs:GA25576-PA,GB_protein:EDY67649,REFSEQ:XP_002137091,FlyMine:FBpp0279639,modMine:FBpp0279639; MD5=8ffd36b2a1be257e94911815d3eba479; length=255; release=r3.2; species=Dpse; 
FBpp0274288          -          CLIPA                -            2.4e-21   75.8   0.0   1.5e-20   73.2   0.0   1.9   1   1   0   1   1   1   1 type=protein; loc=XL_group1e:join(9978267..9978479,9978547..9978697,9978761..9978926,9979009..9979539,9979602..9980121); ID=FBpp0274288; name=Dpse\GA13461-PA; parent=FBgn0073497,FBtr0275850; dbxref=FlyBase:FBpp0274288,FlyBase_Annotation_IDs:GA13461-PA,GB_protein:EAL32132,REFSEQ:XP_001355076,FlyMine:FBpp0274288,modMine:FBpp0274288; MD5=9f4ca6ce2ac1a5ed7bfab54e8902facd; length=526; release=r3.2; species=Dpse; 
FBpp0275581          -          CLIPA                -            3.2e-19   68.8   7.7   2.8e-18   65.8   7.7   1.9   1   1   0   1   1   1   1 type=protein; loc=XR_group6:12876045..12876827; ID=FBpp0275581; name=Dpse\GA20115-PA; parent=FBgn0080111,FBtr0277143; dbxref=FlyBase:FBpp0275581,FlyBase_Annotation_IDs:GA20115-PA,GB_protein:EAL29842,REFSEQ:XP_001354103,FlyMine:FBpp0275581,modMine:FBpp0275581; MD5=30d63994fab17e053f0c9d0c724da1dd; length=260; release=r3.2; species=Dpse; 
FBpp0279866          -          CLIPA                -            1.2e-18   67.0   0.0     2e-18   66.3   0.0   1.3   1   0   0   1   1   1   1 type=protein; loc=4_group3:complement(6723076..6723908,6723965..6724013); ID=FBpp0279866; name=Dpse\GA25698-PA; parent=FBgn0247075,FBtr0281428; dbxref=FlyBase:FBpp0279866,FlyBase_Annotation_IDs:GA25698-PA,GB_protein:EDY70170,REFSEQ:XP_002132768,FlyMine:FBpp0279866,modMine:FBpp0279866; MD5=e6cb7537bb414da221567987629c6284; length=293; release=r3.2; species=Dpse; 
FBpp0285992          -          CLIPA                -            1.2e-18   66.9   0.3     2e-18   66.3   0.3   1.2   1   0   0   1   1   1   1 type=protein; loc=XR_group8:complement(8579289..8580071); ID=FBpp0285992; name=Dpse\GA20992-PA; parent=FBgn0080981,FBtr0287554; dbxref=FlyBase:FBpp0285992,FlyBase_Annotation_IDs:GA20992-PA,GB_protein:EAL30576,REFSEQ:XP_001353075,FlyMine:FBpp0285992,modMine:FBpp0285992; MD5=a4c60610bb364e8b8ea8bcf0cc61bce3; length=260; release=r3.2; species=Dpse; 
FBpp0281798          -          CLIPA                -            2.3e-18   66.0   6.4   5.8e-18   64.7   6.4   1.8   1   1   0   1   1   1   1 type=protein; loc=2:complement(17470300..17470804,17470863..17471391,17471461..17471942,17472010..17472313,17473014..17473083); ID=FBpp0281798; name=Dpse\GA16100-PA; parent=FBgn0076116,FBtr0283360; dbxref=FlyBase:FBpp0281798,FlyBase_Annotation_IDs:GA16100-PA,GB_protein:EAL28208,REFSEQ:XP_001359065,FlyMine:FBpp0281798,modMine:FBpp0281798; MD5=7a0f3ba2dd6dd284554833366cd8e08b; length=629; release=r3.2; species=Dpse; 
FBpp0275365          -          CLIPA                -            2.7e-18   65.8   2.5   1.3e-16   60.3   2.5   2.1   1   1   0   1   1   1   1 type=protein; loc=XR_group6:9646334..9647122; ID=FBpp0275365; name=Dpse\GA10337-PA; parent=FBgn0070395,FBtr0276927; dbxref=FlyBase:FBpp0275365,FlyBase_Annotation_IDs:GA10337-PA,GB_protein:EAL29575,REFSEQ:XP_001353840,FlyMine:FBpp0275365,modMine:FBpp0275365; MD5=cad0a1a5ab11807f32322738a681daee; length=262; release=r3.2; species=Dpse; 
FBpp0308942          -          CLIPA                -            2.4e-17   62.7   0.1   3.2e-17   62.3   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=XR_group8:147814..148767; ID=FBpp0308942; name=Dpse\GA28445-PB; parent=FBgn0249805,FBtr0339910; dbxref=FlyBase_Annotation_IDs:GA28445-PB,FlyBase:FBpp0308942,REFSEQ:XP_002135265,GB_protein:EDY73892; MD5=89df72ec77d51baf3c943fc0ae077954; length=317; release=r3.2; species=Dpse; 
FBpp0273958          -          CLIPA                -            2.8e-17   62.5   0.0   6.2e-17   61.3   0.0   1.6   1   1   0   1   1   1   1 type=protein; loc=XL_group1e:join(9481638..9481786,9481950..9482463); ID=FBpp0273958; name=Dpse\GA11993-PA; parent=FBgn0072041,FBtr0275520; dbxref=FlyBase:FBpp0273958,FlyBase_Annotation_IDs:GA11993-PA,GB_protein:EAL32105,REFSEQ:XP_001355049,FlyMine:FBpp0273958,modMine:FBpp0273958; MD5=862b8cb4c7b28929c5baa5038befaa12; length=220; release=r3.2; species=Dpse; 
FBpp0285949          -          CLIPA                -            3.5e-17   62.2   1.8   1.4e-15   56.9   1.8   2.1   1   1   0   1   1   1   1 type=protein; loc=XR_group8:complement(9157934..9158686); ID=FBpp0285949; name=Dpse\GA15917-PA; parent=FBgn0075933,FBtr0287511; dbxref=FlyBase:FBpp0285949,FlyBase_Annotation_IDs:GA15917-PA,GB_protein:EAL30624,REFSEQ:XP_001353123,FlyMine:FBpp0285949,modMine:FBpp0285949; MD5=5d38883a9c6c0c9ac60a445769790c53; length=250; release=r3.2; species=Dpse; 
FBpp0282574          -          CLIPA                -            4.7e-17   61.8   0.1   7.4e-17   61.1   0.1   1.5   1   1   0   1   1   1   1 type=protein; loc=2:complement(5910859..5911550,5911611..5911727,5911781..5911832); ID=FBpp0282574; name=Dpse\GA16087-PA; parent=FBgn0076103,FBtr0284136; dbxref=FlyBase:FBpp0282574,FlyBase_Annotation_IDs:GA16087-PA,GB_protein:EAL27225,REFSEQ:XP_001358088,FlyMine:FBpp0282574,modMine:FBpp0282574; MD5=15febc53c4f0f23cfa609009012d4e13; length=286; release=r3.2; species=Dpse; 
FBpp0282575          -          CLIPA                -            4.7e-17   61.8   0.0   1.1e-16   60.6   0.0   1.6   2   0   0   2   2   1   1 type=protein; loc=2:complement(5909591..5910291,5910351..5910525); ID=FBpp0282575; name=Dpse\GA16086-PA; parent=FBgn0076102,FBtr0284137; dbxref=FlyBase:FBpp0282575,FlyBase_Annotation_IDs:GA16086-PA,GB_protein:EAL27224,REFSEQ:XP_001358087,FlyMine:FBpp0282575,modMine:FBpp0282575; MD5=cafdb41192f3d39d8c63824b2a190622; length=291; release=r3.2; species=Dpse; 
FBpp0280612          -          CLIPA                -            6.5e-17   61.3   5.8   3.1e-16   59.1   5.8   1.9   1   1   0   1   1   1   1 type=protein; loc=4_group3:5476300..5477076; ID=FBpp0280612; name=Dpse\GA21381-PA; parent=FBgn0081369,FBtr0282174; dbxref=FlyBase:FBpp0280612,FlyBase_Annotation_IDs:GA21381-PA,GB_protein:EAL33786,REFSEQ:XP_001356721,FlyMine:FBpp0280612,modMine:FBpp0280612; MD5=25a035f5f7ccc5c546168e6338d3e22c; length=258; release=r3.2; species=Dpse; 
FBpp0273547          -          CLIPA                -            7.9e-17   61.0   0.0     1e-16   60.6   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=XL_group1a:join(6746650..6746873,6746934..6747471); ID=FBpp0273547; name=Dpse\GA21954-PA; parent=FBgn0081939,FBtr0275109; dbxref=FlyBase:FBpp0273547,FlyBase_Annotation_IDs:GA21954-PA,GB_protein:EAL32657,REFSEQ:XP_001355598,FlyMine:FBpp0273547,modMine:FBpp0273547; MD5=db74e58ae1e55fc1893528045b0a6623; length=253; release=r3.2; species=Dpse; 
FBpp0285312          -          CLIPA                -            1.9e-16   59.7   0.1   2.2e-16   59.6   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=Unknown_singleton_2924:complement(814..1239); ID=FBpp0285312; name=Dpse\GA27794-PA; parent=FBgn0249158,FBtr0286874; dbxref=FlyBase:FBpp0285312,FlyBase_Annotation_IDs:GA27794-PA,GB_protein:EDY71782,REFSEQ:XP_002136764,FlyMine:FBpp0285312,modMine:FBpp0285312; MD5=02dc717cd57f78b604bb6439a3d2b462; length=141; release=r3.2; species=Dpse; 
FBpp0287951          -          CLIPA                -            5.2e-15   55.1  11.1   7.8e-15   54.5   5.2   2.5   2   1   0   2   2   2   1 type=protein; loc=4_group4:join(5334286..5335342,5335405..5335942,5336005..5336464); ID=FBpp0287951; name=Dpse\GA29051-PA; parent=FBgn0250409,FBtr0289513; dbxref=FlyBase:FBpp0287951,FlyBase_Annotation_IDs:GA29051-PA,GB_protein:EDY70611,REFSEQ:XP_002133209,FlyMine:FBpp0287951,modMine:FBpp0287951; MD5=de62b5436e9b44e45ecdd5156da89638; length=684; release=r3.2; species=Dpse; 
FBpp0307092          -          CLIPA                -            1.2e-13   50.6   0.0   6.9e-13   48.1   0.0   1.9   1   1   0   1   1   1   1 type=protein; loc=3:join(16556502..16557020,16557077..16557424); ID=FBpp0307092; name=Dpse\GA30280-PA; parent=FBgn0263822,FBtr0335091; dbxref=REFSEQ:XP_004444495,GB_protein:ENO01908,FlyBase:FBpp0307092,FlyBase_Annotation_IDs:GA30280-PA; MD5=c8b844c54ef8ed5df2eb0579840f832a; length=288; release=r3.2; species=Dpse; 
FBpp0292819          -          CLIPA                -            1.2e-12   47.3   0.0   2.7e-06   26.4   0.0   2.8   2   1   0   2   2   2   2 type=protein; loc=2:join(5899221..5899278,5899345..5900063); ID=FBpp0292819; name=Dpse\GA30056-PA; parent=FBgn0261661,FBtr0303812; dbxref=REFSEQ:XP_003736344,GB_protein:EIM52417,FlyBase:FBpp0292819,FlyBase_Annotation_IDs:GA30056-PA,FlyMine:FBpp0292819,modMine:FBpp0292819; MD5=46573218aae0a4a292f6bb04becb06bf; length=258; release=r3.2; species=Dpse; 
FBpp0292820          -          CLIPA                -            5.1e-12   45.2   0.0   8.9e-12   44.4   0.0   1.4   1   1   0   1   1   1   1 type=protein; loc=2:join(5900136..5900250,5900309..5901081); ID=FBpp0292820; name=Dpse\GA30057-PA; parent=FBgn0261662,FBtr0303813; dbxref=REFSEQ:XP_003736345,GB_protein:EIM52418,FlyBase:FBpp0292820,FlyBase_Annotation_IDs:GA30057-PA,FlyMine:FBpp0292820,modMine:FBpp0292820; MD5=809943f6dc31f79d9c16e1a01dc87026; length=295; release=r3.2; species=Dpse; 
FBpp0284259          -          CLIPA                -            3.2e-09   36.0   0.1   3.6e-08   32.6   0.1   2.0   1   1   0   1   1   1   1 type=protein; loc=2:19012268..19013155; ID=FBpp0284259; name=Dpse\GA27342-PA; parent=FBgn0248709,FBtr0285821; dbxref=FlyBase:FBpp0284259,FlyBase_Annotation_IDs:GA27342-PA,GB_protein:EDY68209,REFSEQ:XP_002137651,FlyMine:FBpp0284259,modMine:FBpp0284259; MD5=0973bca14a96310f680181cbe31cd1d5; length=295; release=r3.2; species=Dpse; 
FBpp0281951          -          CLIPA                -            1.4e-07   30.7   0.0   6.3e-07   28.5   0.0   2.0   1   1   1   2   2   1   1 type=protein; loc=XL_group1e:complement(5544218..5544845,5544907..5545132,5546132..5546207); ID=FBpp0281951; name=Dpse\GA26504-PA; parent=FBgn0247878,FBtr0283513; dbxref=FlyBase:FBpp0281951,FlyBase_Annotation_IDs:GA26504-PA,GB_protein:EDY72776,REFSEQ:XP_002134149,FlyMine:FBpp0281951,modMine:FBpp0281951; MD5=fe399f2a3c32c89dbdfadbef496bff1a; length=309; release=r3.2; species=Dpse; 
FBpp0275364          -          CLIPA                -            2.1e-07   30.1   0.0   2.5e-07   29.8   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=XR_group6:join(9639410..9639575,9639672..9639806,9639880..9639968,9640027..9640059); ID=FBpp0275364; name=Dpse\GA23855-PA; parent=FBgn0245254,FBtr0276926; dbxref=FlyBase:FBpp0275364,FlyBase_Annotation_IDs:GA23855-PA,GB_protein:EDY73714,REFSEQ:XP_002135087,FlyMine:FBpp0275364,modMine:FBpp0275364; MD5=2163a6b2106e7bec1890cdf7a5b299fd; length=140; release=r3.2; species=Dpse; 
FBpp0282755          -          CLIPA                -            1.3e-06   27.5   0.2   5.4e-05   22.1   0.2   2.3   1   1   0   1   1   1   1 type=protein; loc=2:complement(3402642..3403589); ID=FBpp0282755; name=Dpse\GA11693-PA; parent=FBgn0071743,FBtr0284317; dbxref=FlyBase:FBpp0282755,FlyBase_Annotation_IDs:GA11693-PA,GB_protein:EAL27003,REFSEQ:XP_001357868,FlyMine:FBpp0282755,modMine:FBpp0282755; MD5=c755ebb8e677a4c487dd570d5e555fd2; length=315; release=r3.2; species=Dpse; 
FBpp0283281          -          CLIPA                -            1.6e-06   27.2   0.0   4.9e-05   22.3   0.0   2.1   1   1   0   1   1   1   1 type=protein; loc=2:3423688..3424680; ID=FBpp0283281; name=Dpse\GA26990-PA; parent=FBgn0248361,FBtr0284843; dbxref=FlyBase:FBpp0283281,FlyBase_Annotation_IDs:GA26990-PA,GB_protein:EDY67595,REFSEQ:XP_002137037,FlyMine:FBpp0283281,modMine:FBpp0283281; MD5=79279201901dbb22805783d62fdc575f; length=330; release=r3.2; species=Dpse; 
FBpp0282754          -          CLIPA                -              2e-05   23.6   0.0     0.021   13.7   0.0   2.1   2   0   0   2   2   2   1 type=protein; loc=2:complement(3403686..3404435); ID=FBpp0282754; name=Dpse\GA26803-PA; parent=FBgn0248176,FBtr0284316; dbxref=FlyBase:FBpp0282754,FlyBase_Annotation_IDs:GA26803-PA,GB_protein:EDY67594,REFSEQ:XP_002137036,FlyMine:FBpp0282754,modMine:FBpp0282754; MD5=33d304d41c93f829728d3e4f699bb63a; length=249; release=r3.2; species=Dpse; 
FBpp0273990          -          CLIPA                -            0.00059   18.7   0.2   0.00083   18.2   0.2   1.3   1   0   0   1   1   1   1 type=protein; loc=XR_group6:complement(12877451..12877726); ID=FBpp0273990; name=Dpse\GA23357-PA; parent=FBgn0244759,FBtr0275552; dbxref=FlyBase:FBpp0273990,FlyBase_Annotation_IDs:GA23357-PA,GB_protein:EDY73869,REFSEQ:XP_002135242,FlyMine:FBpp0273990,modMine:FBpp0273990; MD5=417a19c2b08001ee2cf87c2a25b484f6; length=91; release=r3.2; species=Dpse; 
FBpp0283283          -          CLIPA                -            0.00097   18.0   0.2      0.46    9.3   0.0   2.2   2   0   0   2   2   2   1 type=protein; loc=2:3425953..3426807; ID=FBpp0283283; name=Dpse\GA26991-PA; parent=FBgn0248362,FBtr0284845; dbxref=FlyBase:FBpp0283283,FlyBase_Annotation_IDs:GA26991-PA,GB_protein:EDY67596,REFSEQ:XP_002137038,FlyMine:FBpp0283283,modMine:FBpp0283283; MD5=b18f956b20fc08bb27c059e63cae6ee4; length=284; release=r3.2; species=Dpse; 
FBpp0283282          -          CLIPA                -              0.015   14.2   0.1      0.25   10.1   0.0   2.0   2   0   0   2   2   2   0 type=protein; loc=2:3424813..3425721; ID=FBpp0283282; name=Dpse\GA22176-PA; parent=FBgn0082155,FBtr0284844; dbxref=FlyBase:FBpp0283282,FlyBase_Annotation_IDs:GA22176-PA,GB_protein:EAL27004,REFSEQ:XP_001357869,FlyMine:FBpp0283282,modMine:FBpp0283282; MD5=5b5fd05f6c61a84e15a72f41d279af0f; length=302; release=r3.2; species=Dpse; 
FBpp0283847          -          CLIPB                -           7.5e-113  377.0   0.0  8.9e-113  376.7   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(12527233..12527299,12527549..12527938,12527997..12528727); ID=FBpp0283847; name=Dpse\GA18526-PA; parent=FBgn0078528,FBtr0285409; dbxref=FlyBase:FBpp0283847,FlyBase_Annotation_IDs:GA18526-PA,GB_protein:EAL27739,REFSEQ:XP_001358598,FlyMine:FBpp0283847,modMine:FBpp0283847; MD5=64e6d426227a251f80d18d03f997c026; length=395; release=r3.2; species=Dpse; 
FBpp0284754          -          CLIPB                -           1.7e-111  372.5   0.8    2e-111  372.3   0.8   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(27015076..27015145,27015550..27015930,27015989..27016097,27016159..27016445,27016508..27016812); ID=FBpp0284754; name=Dpse\GA15903-PA; parent=FBgn0075919,FBtr0286316; dbxref=FlyBase:FBpp0284754,FlyBase_Annotation_IDs:GA15903-PA,GB_protein:EAL28934,REFSEQ:XP_001359782,FlyMine:FBpp0284754,modMine:FBpp0284754; MD5=4f44dfb4eced4965d8094b791c811764; length=383; release=r3.2; species=Dpse; 
FBpp0284752          -          CLIPB                -           2.6e-111  371.9   0.8  3.1e-111  371.7   0.8   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(26996106..26996175,26996580..26996960,26997019..26997127,26997189..26997475,26997538..26997842); ID=FBpp0284752; name=Dpse\GA27509-PA; parent=FBgn0248874,FBtr0286314; dbxref=FlyBase:FBpp0284752,FlyBase_Annotation_IDs:GA27509-PA,GB_protein:EDY68533,REFSEQ:XP_002137975,FlyMine:FBpp0284752,modMine:FBpp0284752; MD5=9943d8fe8a03e9cfaa152e5027f212a1; length=383; release=r3.2; species=Dpse; 
FBpp0281336          -          CLIPB                -           2.8e-110  368.6   0.0  3.3e-110  368.3   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2:complement(24813300..24814024,24814090..24814306,24814378..24814541,24814720..24814789); ID=FBpp0281336; name=Dpse\GA10711-PA; parent=FBgn0070767,FBtr0282898; dbxref=FlyBase:FBpp0281336,FlyBase_Annotation_IDs:GA10711-PA,GB_protein:EAL28768,REFSEQ:XP_001359618,FlyMine:FBpp0281336,modMine:FBpp0281336; MD5=4366b9454b1032ac5adf5d4a106a4e77; length=391; release=r3.2; species=Dpse; 
FBpp0283136          -          CLIPB                -           7.9e-110  367.0   0.0  8.6e-110  366.9   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(1437432..1437492,1437844..1438459,1439356..1439950); ID=FBpp0283136; name=Dpse\GA21994-PA; parent=FBgn0081979,FBtr0284698; dbxref=FlyBase:FBpp0283136,FlyBase_Annotation_IDs:GA21994-PA,GB_protein:EAL26817,REFSEQ:XP_001357683,FlyMine:FBpp0283136,modMine:FBpp0283136; MD5=55e9cc93c54d15f7fcb8032516c8f7d9; length=423; release=r3.2; species=Dpse; 
FBpp0283243          -          CLIPB                -             9e-108  360.3   0.0  1.1e-107  360.1   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(3014123..3014210,3014280..3014666,3014727..3015036,3015102..3015528); ID=FBpp0283243; name=Dpse\GA14092-PA; parent=FBgn0074123,FBtr0284805; dbxref=FlyBase:FBpp0283243,FlyBase_Annotation_IDs:GA14092-PA,GB_protein:EAL26952,REFSEQ:XP_001357817,FlyMine:FBpp0283243,modMine:FBpp0283243; MD5=600ecc4400e5bf5c54859350bc83e15a; length=403; release=r3.2; species=Dpse; 
FBpp0283137          -          CLIPB                -           6.3e-107  357.5   0.9  7.8e-107  357.2   0.9   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(1440980..1441490,1441553..1441649,1441709..1442007,1442072..1442421); ID=FBpp0283137; name=Dpse\GA21997-PA; parent=FBgn0081982,FBtr0284699; dbxref=FlyBase:FBpp0283137,FlyBase_Annotation_IDs:GA21997-PA,GB_protein:EAL26818,REFSEQ:XP_001357684,FlyMine:FBpp0283137,modMine:FBpp0283137; MD5=202481b452c15bf4f8dfce6386b9a87d; length=418; release=r3.2; species=Dpse; 
FBpp0283597          -          CLIPB                -            1.3e-98  330.2   0.9   1.7e-98  329.8   0.9   1.0   1   0   0   1   1   1   1 type=protein; loc=2:join(8596013..8596082,8596143..8596315,8596383..8596596,8596658..8596706,8596771..8596964,8597025..8597449); ID=FBpp0283597; name=Dpse\GA19211-PA; parent=FBgn0079208,FBtr0285159; dbxref=FlyBase:FBpp0283597,FlyBase_Annotation_IDs:GA19211-PA,GB_protein:EAL27425,REFSEQ:XP_001358287,FlyMine:FBpp0283597,modMine:FBpp0283597; MD5=6d15d7195d33c317f1eac1b84d676ab4; length=374; release=r3.2; species=Dpse; 
FBpp0297383          -          CLIPB                -              1e-94  317.4   1.9   1.2e-94  317.2   1.9   1.0   1   0   0   1   1   1   1 type=protein; loc=2:complement(10834193..10834890,10834948..10835095,10835162..10835343,10835439..10835523); ID=FBpp0297383; name=Dpse\GA17488-PB; parent=FBgn0077499,FBtr0306273; dbxref=REFSEQ:XP_001358469,GB_protein:EAL27608,FlyBase:FBpp0297383,FlyBase_Annotation_IDs:GA17488-PB; MD5=8d3c815eec864f9519647d09b294d586; length=370; release=r3.2; species=Dpse; 
FBpp0287118          -          CLIPB                -            7.7e-93  311.2   0.9   1.5e-83  280.6   0.0   2.0   1   1   0   2   2   2   2 type=protein; loc=XR_group8:join(8300074..8300176,8301385..8301554,8301640..8301901,8301965..8302361,8302421..8302496,8302557..8303084); ID=FBpp0287118; name=Dpse\GA11958-PA; parent=FBgn0072007,FBtr0288680; dbxref=FlyBase:FBpp0287118,FlyBase_Annotation_IDs:GA11958-PA,GB_protein:EAL30534,REFSEQ:XP_001353033,FlyMine:FBpp0287118,modMine:FBpp0287118; MD5=027304adb8cc7bf783a251fbec1da182; length=511; release=r3.2; species=Dpse; 
