#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0264975          -          BGBP                 -           3.8e-134  447.5   0.0  4.6e-134  447.2   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:complement(15388350..15388547,15388606..15388983,15389053..15389837,15390021..15390138); ID=FBpp0264975; name=Dyak\GNBP1-PA; parent=FBgn0067448,FBtr0266483; dbxref=FlyBase:FBpp0264975,FlyBase_Annotation_IDs:GE19965-PA,GB_protein:EDW94595,REFSEQ:XP_002094883,FlyMine:FBpp0264975; MD5=812d81afcc516ec569171a72046cb240; length=492; release=r1.3; species=Dyak; 
FBpp0265522          -          CLIPB                -            6.3e-48  163.5   0.0   8.3e-48  163.1   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=3L:complement(6667981..6668548,6668606..6668841); ID=FBpp0265522; name=Dyak\GE20512-PA; parent=FBgn0237826,FBtr0267030; dbxref=FlyBase:FBpp0265522,FlyBase_Annotation_IDs:GE20512-PA,GB_protein:EDW93594,REFSEQ:XP_002093882,FlyMine:FBpp0265522; MD5=b946fd3125ae178170f48a7e45b12af4; length=267; release=r1.3; species=Dyak; 
FBpp0255056          -          CLIPB                -            1.7e-47  162.1   0.0   1.8e-47  161.9   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=3R:join(16389494..16389691,16389764..16389929,16390040..16390808,16391038..16391446); ID=FBpp0255056; name=Dyak\GE10046-PA; parent=FBgn0227929,FBtr0256564; dbxref=FlyBase:FBpp0255056,FlyBase_Annotation_IDs:GE10046-PA,GB_protein:EDW97607,REFSEQ:XP_002097895,FlyMine:FBpp0255056; MD5=d8cf2de5937b6285ac450ae0e4c2f084; length=513; release=r1.3; species=Dyak; 
FBpp0264931          -          CLIPB                -            2.4e-47  161.6   0.0   2.8e-47  161.3   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:complement(16517143..16517955); ID=FBpp0264931; name=Dyak\GE19921-PA; parent=FBgn0068245,FBtr0266439; dbxref=FlyBase:FBpp0264931,FlyBase_Annotation_IDs:GE19921-PA,GB_protein:EDW94703,REFSEQ:XP_002094991,FlyMine:FBpp0264931; MD5=7f53cdb28ee2677f472c3add96dcf3cc; length=270; release=r1.3; species=Dyak; 
FBpp0259126          -          CLIPB                -            2.8e-47  161.4   0.0   3.9e-47  160.9   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:17153195..17153977; ID=FBpp0259126; name=Dyak\GE14116-PA; parent=FBgn0231741,FBtr0260634; dbxref=FlyBase:FBpp0259126,FlyBase_Annotation_IDs:GE14116-PA,GB_protein:EDW92019,REFSEQ:XP_002092307,FlyMine:FBpp0259126; MD5=583ebfb1c3fa02bbd376f6c6b637b9cb; length=260; release=r1.3; species=Dyak; 
FBpp0262371          -          CLIPB                -            3.2e-47  161.1   0.6     4e-47  160.8   0.6   1.0   1   0   0   1   1   1   1 type=protein; loc=X:join(11757698..11757893,11757964..11758006,11758074..11758249,11758314..11758678); ID=FBpp0262371; name=Dyak\GE17361-PA; parent=FBgn0234831,FBtr0263879; dbxref=FlyBase:FBpp0262371,FlyBase_Annotation_IDs:GE17361-PA,GB_protein:EDX02094,REFSEQ:XP_002100986,FlyMine:FBpp0262371; MD5=be16f687b75163b3d15ed1efb70b1ff5; length=259; release=r1.3; species=Dyak; 
FBpp0266542          -          CLIPB                -            5.9e-47  160.3   0.0   7.9e-47  159.9   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=3L:join(6634918..6635438,6635498..6635673,6635737..6636368); ID=FBpp0266542; name=Dyak\GE21532-PA; parent=FBgn0238787,FBtr0268050; dbxref=FlyBase:FBpp0266542,FlyBase_Annotation_IDs:GE21532-PA,GB_protein:EDW93585,REFSEQ:XP_002093873,FlyMine:FBpp0266542; MD5=add01f884f35e119bca66591da161a1a; length=442; release=r1.3; species=Dyak; 
FBpp0264196          -          CLIPB                -              3e-46  158.0   0.0   3.9e-46  157.6   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=2L:join(16793087..16793308,16793670..16794372,16795033..16795697); ID=FBpp0264196; name=Dyak\GE19186-PA; parent=FBgn0236545,FBtr0265704; dbxref=FlyBase:FBpp0264196,FlyBase_Annotation_IDs:GE19186-PA,GB_protein:EDW89315,REFSEQ:XP_002089603,FlyMine:FBpp0264196; MD5=93eaea2cc38c2711c1686fd78887c15b; length=529; release=r1.3; species=Dyak; 
FBpp0266538          -          CLIPB                -            3.9e-46  157.6   0.5   5.3e-46  157.1   0.5   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:join(6615555..6615811,6615889..6616453); ID=FBpp0266538; name=Dyak\GE21528-PA; parent=FBgn0068275,FBtr0268046; dbxref=FlyBase:FBpp0266538,FlyBase_Annotation_IDs:GE21528-PA,GB_protein:EDW93580,REFSEQ:XP_002093868,FlyMine:FBpp0266538; MD5=953bc726c797079f133a35c93309ebc0; length=273; release=r1.3; species=Dyak; 
FBpp0258145          -          CLIPB                -            4.8e-46  157.3   0.1   6.5e-46  156.8   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:join(3646069..3646239,3646321..3647607); ID=FBpp0258145; name=Dyak\GE13135-PA; parent=FBgn0230833,FBtr0259653; dbxref=FlyBase:FBpp0258145,FlyBase_Annotation_IDs:GE13135-PA,GB_protein:EDW90177,REFSEQ:XP_002090465,FlyMine:FBpp0258145; MD5=5d27fa9662e83d95986cd810b2d38321; length=485; release=r1.3; species=Dyak; 
FBpp0267149          -          CLIPB                -            6.1e-46  156.9   0.1   8.1e-46  156.5   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=3L:join(16521339..16521565,16521637..16522192); ID=FBpp0267149; name=Dyak\GE22139-PA; parent=FBgn0239368,FBtr0268657; dbxref=FlyBase:FBpp0267149,FlyBase_Annotation_IDs:GE22139-PA,GB_protein:EDW94705,REFSEQ:XP_002094993,FlyMine:FBpp0267149; MD5=e46e865ff0e57693cb90421c5f444f82; length=260; release=r1.3; species=Dyak; 
FBpp0267150          -          CLIPB                -            7.1e-46  156.7   0.1   9.5e-46  156.3   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=3L:join(16526012..16526238,16526310..16526865); ID=FBpp0267150; name=Dyak\GE22140-PA; parent=FBgn0239369,FBtr0268658; dbxref=FlyBase:FBpp0267150,FlyBase_Annotation_IDs:GE22140-PA,GB_protein:EDW94706,REFSEQ:XP_002094994,FlyMine:FBpp0267150; MD5=7d55092eeb9e0959b3a41944e8f69ee6; length=260; release=r1.3; species=Dyak; 
FBpp0265488          -          CLIPB                -            9.4e-46  156.3   0.5   1.9e-42  145.5   0.0   3.1   3   0   0   3   3   2   2 type=protein; loc=3L:complement(7159025..7159442,7159502..7159645,7159712..7159819,7159881..7160172,7160228..7160697,7160760..7161744,7161800..7161913,7161969..7162138,7162202..7163465,7163520..7163853,7163912..7164403,7164464..7165536,7165595..7167388,7167444..7167587,7168047..7168065); ID=FBpp0265488; name=Dyak\GE20478-PA; parent=FBgn0237793,FBtr0266996; dbxref=FlyBase:FBpp0265488,FlyBase_Annotation_IDs:GE20478-PA,GB_protein:EDW93653,REFSEQ:XP_002093941,FlyMine:FBpp0265488; MD5=029207b6028594a52609cca8123cb1b9; length=2606; release=r1.3; species=Dyak; 
FBpp0267148          -          CLIPB                -            2.6e-45  154.8   0.1   3.5e-44  151.2   0.1   1.9   1   1   0   1   1   1   1 type=protein; loc=3L:join(16518652..16518890,16518948..16519210,16519293..16519606); ID=FBpp0267148; name=Dyak\GE22138-PA; parent=FBgn0239367,FBtr0268656; dbxref=FlyBase:FBpp0267148,FlyBase_Annotation_IDs:GE22138-PA,GB_protein:EDW94704,REFSEQ:XP_002094992,FlyMine:FBpp0267148; MD5=401c7feeaec6a76f155fbb243ac93410; length=271; release=r1.3; species=Dyak; 
FBpp0270229          -          CLIPB                -            8.6e-45  153.2   0.1   1.1e-44  152.8   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:complement(2730749..2731753); ID=FBpp0270229; name=Dyak\GE25219-PA; parent=FBgn0242303,FBtr0271737; dbxref=FlyBase:FBpp0270229,FlyBase_Annotation_IDs:GE25219-PA,GB_protein:EDW95881,REFSEQ:XP_002096169,FlyMine:FBpp0270229; MD5=71c112a9599acf58a4d341effdc893b0; length=334; release=r1.3; species=Dyak; 
FBpp0257890          -          CLIPB                -            9.6e-45  153.0   0.0   1.7e-44  152.2   0.0   1.3   1   1   0   1   1   1   1 type=protein; loc=2R:complement(1917920..1918738); ID=FBpp0257890; name=Dyak\GE12880-PA; parent=FBgn0230597,FBtr0259398; dbxref=FlyBase:FBpp0257890,FlyBase_Annotation_IDs:GE12880-PA,GB_protein:EDW89996,REFSEQ:XP_002090284,FlyMine:FBpp0257890; MD5=8666834a256fec3cbd011d37513d6f49; length=272; release=r1.3; species=Dyak; 
FBpp0255060          -          CLIPB                -              1e-44  152.9   0.0   1.2e-44  152.7   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=3R:join(16396256..16396468,16396921..16397086,16397201..16397912,16397979..16398402); ID=FBpp0255060; name=Dyak\GE10050-PA; parent=FBgn0227932,FBtr0256568; dbxref=FlyBase:FBpp0255060,FlyBase_Annotation_IDs:GE10050-PA,GB_protein:EDW97610,REFSEQ:XP_002097898,FlyMine:FBpp0255060; MD5=aef709ed5ad82aeef7895b4367920ef5; length=504; release=r1.3; species=Dyak; 
FBpp0260009          -          CLIPB                -            1.4e-44  152.5   0.2   1.8e-44  152.1   0.2   1.1   1   0   0   1   1   1   1 type=protein; loc=2L:complement(2838069..2838914,2838968..2839135); ID=FBpp0260009; name=Dyak\GE14999-PA; parent=FBgn0232589,FBtr0261517; dbxref=FlyBase:FBpp0260009,FlyBase_Annotation_IDs:GE14999-PA,GB_protein:EDW87452,REFSEQ:XP_002087740,FlyMine:FBpp0260009; MD5=e58c0ac31cecf6b1c63128e79fe5cbaa; length=337; release=r1.3; species=Dyak; 
FBpp0259865          -          CLIPB                -            2.9e-44  151.4   0.0     4e-44  151.0   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=2L:complement(3497669..3498224,3498289..3498566); ID=FBpp0259865; name=Dyak\GE14855-PA; parent=FBgn0232446,FBtr0261373; dbxref=FlyBase:FBpp0259865,FlyBase_Annotation_IDs:GE14855-PA,GB_protein:EDW87549,REFSEQ:XP_002087837,FlyMine:FBpp0259865; MD5=ed1e6647e5144ca2d6b8c7ce50f73a9e; length=277; release=r1.3; species=Dyak; 
FBpp0261032          -          CLIPB                -            3.1e-44  151.3   0.0   8.9e-44  149.8   0.0   1.5   1   1   0   1   1   1   1 type=protein; loc=X:complement(9864369..9865097,9865172..9865273); ID=FBpp0261032; name=Dyak\GE16022-PA; parent=FBgn0233574,FBtr0262540; dbxref=FlyBase:FBpp0261032,FlyBase_Annotation_IDs:GE16022-PA,GB_protein:EDX01826,REFSEQ:XP_002100718,FlyMine:FBpp0261032; MD5=523ab9c3fdf14e2815719abf3a4ab7f3; length=276; release=r1.3; species=Dyak; 
FBpp0257213          -          CLIPB                -            3.9e-44  151.0   0.1   5.2e-44  150.6   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:complement(11695102..11695568,11697052..11697224,11697449..11697597); ID=FBpp0257213; name=Dyak\GE12203-PA; parent=FBgn0229966,FBtr0258721; dbxref=FlyBase:FBpp0257213,FlyBase_Annotation_IDs:GE12203-PA,GB_protein:EDW91225,REFSEQ:XP_002091513,FlyMine:FBpp0257213; MD5=39bb8d3192eae79dd6c4a174d4a004e6; length=262; release=r1.3; species=Dyak; 
FBpp0265412          -          CLIPB                -            4.5e-44  150.8   0.2     6e-44  150.4   0.2   1.1   1   0   0   1   1   1   1 type=protein; loc=3L:complement(8138473..8139384); ID=FBpp0265412; name=Dyak\GE20402-PA; parent=FBgn0237718,FBtr0266920; dbxref=FlyBase:FBpp0265412,FlyBase_Annotation_IDs:GE20402-PA,GB_protein:EDW93779,REFSEQ:XP_002094067,FlyMine:FBpp0265412; MD5=806253db8e2146bf7a92e0dd318dc6d9; length=303; release=r1.3; species=Dyak; 
FBpp0255058          -          CLIPB                -            5.6e-44  150.5   0.0   9.3e-44  149.8   0.0   1.4   1   0   0   1   1   1   1 type=protein; loc=3R:join(16393481..16393690,16393903..16394068,16394130..16394904,16394973..16395390); ID=FBpp0255058; name=Dyak\GE10048-PA; parent=FBgn0227930,FBtr0256566; dbxref=FlyBase:FBpp0255058,FlyBase_Annotation_IDs:GE10048-PA,GB_protein:EDW97609,REFSEQ:XP_002097897,FlyMine:FBpp0255058; MD5=9f63345fe0b6685274a414cd8c8ae435; length=522; release=r1.3; species=Dyak; 
FBpp0266421          -          CLIPB                -            6.1e-44  150.4   0.0   7.3e-44  150.1   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:join(4663285..4663356,4663417..4664262); ID=FBpp0266421; name=Dyak\GE21411-PA; parent=FBgn0238671,FBtr0267929; dbxref=FlyBase:FBpp0266421,FlyBase_Annotation_IDs:GE21411-PA,GB_protein:EDW93351,REFSEQ:XP_002093639,FlyMine:FBpp0266421; MD5=d5a461b4c0868ecfbf4673b88e73b016; length=305; release=r1.3; species=Dyak; 
FBpp0260006          -          CLIPB                -            1.3e-43  149.3   0.0   1.6e-43  149.0   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(2839706..2840527,2840584..2840775); ID=FBpp0260006; name=Dyak\GE14996-PA; parent=FBgn0232586,FBtr0261514; dbxref=FlyBase:FBpp0260006,FlyBase_Annotation_IDs:GE14996-PA,GB_protein:EDW87453,REFSEQ:XP_002087741,FlyMine:FBpp0260006; MD5=e25a78108ef0c5d5f4264f42431b28c4; length=337; release=r1.3; species=Dyak; 
FBpp0266220          -          CLIPB                -            1.4e-43  149.2   0.2     2e-43  148.7   0.2   1.1   1   0   0   1   1   1   1 type=protein; loc=2L:complement(19411776..19413215,19413277..19413489); ID=FBpp0266220; name=Dyak\GE21210-PA; parent=FBgn0238485,FBtr0267728; dbxref=FlyBase:FBpp0266220,FlyBase_Annotation_IDs:GE21210-PA,GB_protein:EDW89702,REFSEQ:XP_002089990,FlyMine:FBpp0266220; MD5=6f9cd00ed2486c0e853cbae58e552081; length=550; release=r1.3; species=Dyak; 
FBpp0257611          -          CLIPB                -            1.7e-43  148.9   0.2   2.6e-43  148.3   0.2   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:complement(6647171..6647947); ID=FBpp0257611; name=Dyak\GE12601-PA; parent=FBgn0068377,FBtr0259119; dbxref=FlyBase:FBpp0257611,FlyBase_Annotation_IDs:GE12601-PA,GB_protein:EDW90505,REFSEQ:XP_002090793,FlyMine:FBpp0257611; MD5=23fc97ad60a8fa5ea07a37ba7e4004be; length=258; release=r1.3; species=Dyak; 
FBpp0269798          -          CLIPB                -            2.8e-43  148.2   0.0   3.9e-43  147.7   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=3R:complement(9201347..9201649,9201712..9202074,9202243..9202374); ID=FBpp0269798; name=Dyak\GE24788-PA; parent=FBgn0241890,FBtr0271306; dbxref=FlyBase:FBpp0269798,FlyBase_Annotation_IDs:GE24788-PA,GB_protein:EDW96634,REFSEQ:XP_002096922,FlyMine:FBpp0269798; MD5=53c86e7c794ba4053f27c865669791d0; length=265; release=r1.3; species=Dyak; 
FBpp0266537          -          CLIPB                -            6.5e-43  147.0   0.0   7.9e-43  146.7   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=3L:6613414..6614373; ID=FBpp0266537; name=Dyak\GE21527-PA; parent=FBgn0238783,FBtr0268045; dbxref=FlyBase:FBpp0266537,FlyBase_Annotation_IDs:GE21527-PA,GB_protein:EDW93579,REFSEQ:XP_002093867,FlyMine:FBpp0266537; MD5=169b4b85180e96902bf22fd34108bd7e; length=319; release=r1.3; species=Dyak; 
FBpp0256806          -          CLIPB                -            1.2e-42  146.1   0.0   1.4e-42  145.8   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:complement(16609784..16610175,16610254..16610411,16610468..16610513,16610570..16610765); ID=FBpp0256806; name=Dyak\GE11796-PA; parent=FBgn0229588,FBtr0258314; dbxref=FlyBase:FBpp0256806,FlyBase_Annotation_IDs:GE11796-PA,GB_protein:EDW91914,REFSEQ:XP_002092202,FlyMine:FBpp0256806; MD5=cad71a8bf206767bfd346078b39079e7; length=263; release=r1.3; species=Dyak; 
FBpp0266536          -          CLIPB                -            1.3e-42  146.0   0.1   2.7e-42  145.0   0.1   1.4   1   1   0   1   1   1   1 type=protein; loc=3L:join(6611358..6611617,6611675..6612233); ID=FBpp0266536; name=Dyak\yip7-PA; parent=FBgn0067915,FBtr0268044; dbxref=FlyBase:FBpp0266536,FlyBase_Annotation_IDs:GE21526-PA,GB_protein:EDW93578,REFSEQ:XP_002093866,FlyMine:FBpp0266536; MD5=484ee93453167cd799358aa72c413e9e; length=272; release=r1.3; species=Dyak; 
FBpp0257364          -          CLIPB                -            2.3e-42  145.2   1.9   3.6e-42  144.6   1.9   1.2   1   1   0   1   1   1   1 type=protein; loc=2R:complement(9718162..9718932); ID=FBpp0257364; name=Dyak\GE12354-PA; parent=FBgn0230102,FBtr0258872; dbxref=FlyBase:FBpp0257364,FlyBase_Annotation_IDs:GE12354-PA,GB_protein:EDW90937,REFSEQ:XP_002091225,FlyMine:FBpp0257364; MD5=6a4fca92d02ac6acc33810a8a96e6922; length=256; release=r1.3; species=Dyak; 
FBpp0258543          -          CLIPB                -            2.3e-42  145.2   1.9   3.6e-42  144.6   1.9   1.2   1   1   0   1   1   1   1 type=protein; loc=2R:9720110..9720880; ID=FBpp0258543; name=Dyak\GE13533-PA; parent=FBgn0231198,FBtr0260051; dbxref=FlyBase:FBpp0258543,FlyBase_Annotation_IDs:GE13533-PA,GB_protein:EDW90938,REFSEQ:XP_002091226; MD5=6a4fca92d02ac6acc33810a8a96e6922; length=256; release=r1.3; species=Dyak; 
FBpp0267151          -          CLIPB                -            2.4e-42  145.1   0.0   3.2e-42  144.7   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=3L:join(16532022..16532248,16532320..16532875); ID=FBpp0267151; name=Dyak\GE22141-PA; parent=FBgn0239370,FBtr0268659; dbxref=FlyBase:FBpp0267151,FlyBase_Annotation_IDs:GE22141-PA,GB_protein:EDW94707,REFSEQ:XP_002094995,FlyMine:FBpp0267151; MD5=eee9af54bba319ea50583ee2d9964c48; length=260; release=r1.3; species=Dyak; 
FBpp0261216          -          CLIPB                -            4.6e-42  144.2   0.1   6.8e-42  143.6   0.1   1.2   1   0   0   1   1   1   1 type=protein; loc=2L:complement(316480..317313); ID=FBpp0261216; name=Dyak\GE16206-PA; parent=FBgn0233747,FBtr0262724; dbxref=FlyBase:FBpp0261216,FlyBase_Annotation_IDs:GE16206-PA,GB_protein:EDW87126,REFSEQ:XP_002087414,FlyMine:FBpp0261216; MD5=cbde2b4bac26fc4ed784b6f6248bcba9; length=277; release=r1.3; species=Dyak; 
FBpp0269796          -          CLIPB                -            4.9e-42  144.1   0.0     7e-42  143.6   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=3R:complement(9202952..9203254,9203318..9203680,9203747..9203881); ID=FBpp0269796; name=Dyak\GE24786-PA; parent=FBgn0241888,FBtr0271304; dbxref=FlyBase:FBpp0269796,FlyBase_Annotation_IDs:GE24786-PA,GB_protein:EDW96635,REFSEQ:XP_002096923,FlyMine:FBpp0269796; MD5=118f9fcb525b1d38c4d3b12406df1c62; length=266; release=r1.3; species=Dyak; 
FBpp0257363          -          CLIPB                -            5.6e-42  143.9   1.2   1.1e-41  143.0   1.2   1.4   1   1   0   1   1   1   1 type=protein; loc=2R:complement(9721996..9722757); ID=FBpp0257363; name=Dyak\GE12353-PA; parent=FBgn0230101,FBtr0258871; dbxref=FlyBase:FBpp0257363,FlyBase_Annotation_IDs:GE12353-PA,GB_protein:EDW90939,REFSEQ:XP_002091227,FlyMine:FBpp0257363; MD5=b39d22ef9cc54213a6b265ba0861e9ca; length=253; release=r1.3; species=Dyak; 
FBpp0257552          -          CLIPB                -            5.6e-42  143.9   0.1   9.7e-42  143.1   0.1   1.2   1   1   0   1   1   1   1 type=protein; loc=2R:complement(7636563..7637342); ID=FBpp0257552; name=Dyak\GE12542-PA; parent=FBgn0230276,FBtr0259060; dbxref=FlyBase:FBpp0257552,FlyBase_Annotation_IDs:GE12542-PA,GB_protein:EDW90617,REFSEQ:XP_002090905,FlyMine:FBpp0257552; MD5=011747e0ee702e5a40dfe221a0b7c4ee; length=259; release=r1.3; species=Dyak; 
FBpp0265414          -          CLIPB                -            5.9e-42  143.8   0.0     8e-42  143.4   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=3L:complement(8135952..8136704); ID=FBpp0265414; name=Dyak\GE20404-PA; parent=FBgn0237720,FBtr0266922; dbxref=FlyBase:FBpp0265414,FlyBase_Annotation_IDs:GE20404-PA,GB_protein:EDW93777,REFSEQ:XP_002094065,FlyMine:FBpp0265414; MD5=fc89f21981476190e81d3fa273ab4e9e; length=250; release=r1.3; species=Dyak; 
FBpp0265527          -          CLIPB                -            7.3e-42  143.5   0.1     1e-41  143.0   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=3L:complement(6608281..6608839,6608899..6609158); ID=FBpp0265527; name=Dyak\GE20517-PA; parent=FBgn0237830,FBtr0267035; dbxref=FlyBase:FBpp0265527,FlyBase_Annotation_IDs:GE20517-PA,GB_protein:EDW93576,REFSEQ:XP_002093864,FlyMine:FBpp0265527; MD5=4a6194c19d7f7e2aedd79401b09c6dbe; length=272; release=r1.3; species=Dyak; 
FBpp0258144          -          CLIPB                -            2.1e-41  142.0   0.0   2.8e-41  141.6   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:join(3643725..3643799,3643893..3644840); ID=FBpp0258144; name=Dyak\GE13134-PA; parent=FBgn0230832,FBtr0259652; dbxref=FlyBase:FBpp0258144,FlyBase_Annotation_IDs:GE13134-PA,GB_protein:EDW90176,REFSEQ:XP_002090464,FlyMine:FBpp0258144; MD5=6aff756e8ab5f4848ddc252e4cfb47c5; length=340; release=r1.3; species=Dyak; 
FBpp0258544          -          CLIPB                -            2.8e-41  141.6   0.0   4.8e-41  140.8   0.0   1.3   1   1   0   1   1   1   1 type=protein; loc=2R:9723048..9723818; ID=FBpp0258544; name=Dyak\epsilonTry-PA; parent=FBgn0068547,FBtr0260052; dbxref=FlyBase:FBpp0258544,FlyBase_Annotation_IDs:GE13534-PA,GB_protein:EDW90940,REFSEQ:XP_002091228,FlyMine:FBpp0258544; MD5=665750e84e255f608e5fa4439c5053f2; length=256; release=r1.3; species=Dyak; 
FBpp0258545          -          CLIPB                -            3.1e-41  141.5   1.2   6.4e-41  140.4   1.2   1.4   1   1   0   1   1   1   1 type=protein; loc=2R:9724002..9724772; ID=FBpp0258545; name=Dyak\alphaTry-PA; parent=FBgn0068550,FBtr0260053; dbxref=FlyBase:FBpp0258545,FlyBase_Annotation_IDs:GE13535-PA,GB_protein:EDW90941,REFSEQ:XP_002091229,FlyMine:FBpp0258545; MD5=42a69dbbed7b34805b44caf53af50688; length=256; release=r1.3; species=Dyak; 
FBpp0255055          -          CLIPB                -              6e-41  140.5   0.0   7.4e-41  140.2   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=3R:join(16386841..16387047,16387111..16387282,16387431..16388401); ID=FBpp0255055; name=Dyak\GE10045-PA; parent=FBgn0227928,FBtr0256563; dbxref=FlyBase:FBpp0255055,FlyBase_Annotation_IDs:GE10045-PA,GB_protein:EDW97606,REFSEQ:XP_002097894,FlyMine:FBpp0255055; MD5=58fae4d68ee50c01b6f5517b355a3b21; length=449; release=r1.3; species=Dyak; 
FBpp0268223          -          CLIPB                -            9.4e-41  139.9   0.0   1.1e-40  139.6   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=v2_chr3L_random_179:join(29..232,386..658); ID=FBpp0268223; name=Dyak\GE23213-PA; parent=FBgn0240412,FBtr0269731; dbxref=FlyBase:FBpp0268223,FlyBase_Annotation_IDs:GE23213-PA,GB_protein:EDW99989,REFSEQ:XP_002086588,FlyMine:FBpp0268223; MD5=2a5cf82cc9bd47c8e4024f506ec9f2ed; length=158; release=r1.3; species=Dyak; 
FBpp0256821          -          CLIPB                -            1.2e-40  139.5   0.0   4.6e-40  137.6   0.0   1.8   2   0   0   2   2   1   1 type=protein; loc=2R:complement(16420839..16421657,16422160..16422306,16422361..16422465,16422526..16423041,16423095..16423190); ID=FBpp0256821; name=Dyak\GE11811-PA; parent=FBgn0229601,FBtr0258329; dbxref=FlyBase:FBpp0256821,FlyBase_Annotation_IDs:GE11811-PA,GB_protein:EDW91889,REFSEQ:XP_002092177,FlyMine:FBpp0256821; MD5=cdc4d27e76d88c24938766e7d63a120e; length=560; release=r1.3; species=Dyak; 
FBpp0266539          -          CLIPB                -            1.4e-40  139.3   0.9   2.3e-40  138.6   0.9   1.2   1   1   0   1   1   1   1 type=protein; loc=3L:join(6624841..6625100,6625163..6625727); ID=FBpp0266539; name=Dyak\GE21529-PA; parent=FBgn0238784,FBtr0268047; dbxref=FlyBase:FBpp0266539,FlyBase_Annotation_IDs:GE21529-PA,GB_protein:EDW93581,REFSEQ:XP_002093869,FlyMine:FBpp0266539; MD5=6e551f099019b9197ffce8ab73cecccc; length=274; release=r1.3; species=Dyak; 
FBpp0255433          -          CLIPB                -            2.3e-40  138.6   0.0     3e-40  138.2   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=3R:join(20825113..20825502,20825558..20825929); ID=FBpp0255433; name=Dyak\GE10423-PA; parent=FBgn0228287,FBtr0256941; dbxref=FlyBase:FBpp0255433,FlyBase_Annotation_IDs:GE10423-PA,GB_protein:EDW98243,REFSEQ:XP_002098531,FlyMine:FBpp0255433; MD5=bd914e417de2d61944bdf6b974f46f5e; length=253; release=r1.3; species=Dyak; 
FBpp0263830          -          CLIPB                -            2.8e-40  138.3   0.0   4.2e-40  137.8   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=2L:11665631..11666407; ID=FBpp0263830; name=Dyak\GE18820-PA; parent=FBgn0236205,FBtr0265338; dbxref=FlyBase:FBpp0263830,FlyBase_Annotation_IDs:GE18820-PA,GB_protein:EDW88607,REFSEQ:XP_002088895,FlyMine:FBpp0263830; MD5=1c778729b4047e3d28d5e9c804624094; length=258; release=r1.3; species=Dyak; 
FBpp0269625          -          CLIPB                -            6.1e-40  137.2   0.1   1.5e-39  135.9   0.1   1.5   1   1   0   1   1   1   1 type=protein; loc=3R:complement(11424095..11424166,11424236..11425012); ID=FBpp0269625; name=Dyak\GE24615-PA; parent=FBgn0241725,FBtr0271133; dbxref=FlyBase:FBpp0269625,FlyBase_Annotation_IDs:GE24615-PA,GB_protein:EDW96935,REFSEQ:XP_002097223,FlyMine:FBpp0269625; MD5=af7bd706290aca45012024cada96db66; length=282; release=r1.3; species=Dyak; 
FBpp0265413          -          CLIPB                -            6.8e-40  137.1   8.4   9.1e-40  136.6   8.4   1.1   1   0   0   1   1   1   1 type=protein; loc=3L:complement(8137144..8138043); ID=FBpp0265413; name=Dyak\GE20403-PA; parent=FBgn0237719,FBtr0266921; dbxref=FlyBase:FBpp0265413,FlyBase_Annotation_IDs:GE20403-PA,GB_protein:EDW93778,REFSEQ:XP_002094066,FlyMine:FBpp0265413; MD5=f047e54839e11c1d8775228a61488a4f; length=299; release=r1.3; species=Dyak; 
