#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0163182          -          BGBP                 -           2.2e-122  408.6   0.0  2.7e-122  408.4   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6680:join(23826094..23826235,23826290..23827120,23827188..23827504,23827826..23828023); ID=FBpp0163182; name=Dmoj\GI13965-PA; parent=FBgn0136719,FBtr0164690; dbxref=FlyBase:FBpp0163182,FlyBase_Annotation_IDs:GI13965-PA,GB_protein:EDW19790,REFSEQ:XP_002009314,FlyMine:FBpp0163182,modMine:FBpp0163182; MD5=82199653471395d43f20968e3baf4d8d; length=495; release=r1.3; species=Dmoj; 
FBpp0173019          -          CLIPB                -            8.2e-42  143.2   0.0   1.1e-41  142.8   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6500:complement(18290496..18291051,18291113..18291351); ID=FBpp0173019; name=Dmoj\GI23802-PA; parent=FBgn0146527,FBtr0174527; dbxref=FlyBase:FBpp0173019,FlyBase_Annotation_IDs:GI23802-PA,GB_protein:EDW12629,REFSEQ:XP_002003187,FlyMine:FBpp0173019,modMine:FBpp0173019; MD5=9bb7d8ff6d1f0f31fc10ae197a34b70f; length=264; release=r1.3; species=Dmoj; 
FBpp0173757          -          CLIPB                -            1.3e-41  142.6   0.0   1.4e-41  142.4   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:join(13619724..13619942,13620565..13620730,13620790..13621429,13621486..13621897); ID=FBpp0173757; name=Dmoj\GI24540-PA; parent=FBgn0147262,FBtr0175265; dbxref=FlyBase:FBpp0173757,FlyBase_Annotation_IDs:GI24540-PA,GB_protein:EDW14950,REFSEQ:XP_001999489,FlyMine:FBpp0173757,modMine:FBpp0173757; MD5=2c6064774e48db9a2f631182f88b201d; length=478; release=r1.3; species=Dmoj; 
FBpp0166672          -          CLIPB                -            4.7e-41  140.7   0.0   6.9e-41  140.2   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6500:11767885..11768667; ID=FBpp0166672; name=Dmoj\GI17455-PA; parent=FBgn0140199,FBtr0168180; dbxref=FlyBase:FBpp0166672,FlyBase_Annotation_IDs:GI17455-PA,GB_protein:EDW12018,REFSEQ:XP_002002576,FlyMine:FBpp0166672,modMine:FBpp0166672; MD5=f511b1d86c5d6fafb48559d37b7bcee3; length=260; release=r1.3; species=Dmoj; 
FBpp0167569          -          CLIPB                -            8.6e-41  139.9   0.2   1.3e-40  139.3   0.2   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_6496:complement(25708156..25709019); ID=FBpp0167569; name=Dmoj\GI18352-PA; parent=FBgn0141091,FBtr0169077; dbxref=FlyBase:FBpp0167569,FlyBase_Annotation_IDs:GI18352-PA,GB_protein:EDW10812,REFSEQ:XP_002006877,FlyMine:FBpp0167569,modMine:FBpp0167569; MD5=cf95cc1cec6ea3db6fb62b833417c722; length=287; release=r1.3; species=Dmoj; 
FBpp0173657          -          CLIPB                -            9.5e-41  139.7   0.0   1.6e-40  139.0   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:join(11846966..11847150,11848081..11848711); ID=FBpp0173657; name=Dmoj\GI24440-PA; parent=FBgn0147162,FBtr0175165; dbxref=FlyBase:FBpp0173657,FlyBase_Annotation_IDs:GI24440-PA,GB_protein:EDW14767,REFSEQ:XP_001999306,FlyMine:FBpp0173657,modMine:FBpp0173657; MD5=0371af16e1d70b34dc061bca72c60a7e; length=271; release=r1.3; species=Dmoj; 
FBpp0166429          -          CLIPB                -            1.8e-40  138.8   0.0   2.4e-40  138.4   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6500:join(6386993..6387205,6387260..6388117); ID=FBpp0166429; name=Dmoj\GI17212-PA; parent=FBgn0139956,FBtr0167937; dbxref=FlyBase:FBpp0166429,FlyBase_Annotation_IDs:GI17212-PA,GB_protein:EDW11571,REFSEQ:XP_002002129,FlyMine:FBpp0166429,modMine:FBpp0166429; MD5=0edf9823aee84b65948c0fba7e0c94e6; length=356; release=r1.3; species=Dmoj; 
FBpp0166654          -          CLIPB                -            1.8e-40  138.8   0.1   2.4e-40  138.4   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6500:11310518..11311234; ID=FBpp0166654; name=Dmoj\GI17437-PA; parent=FBgn0140181,FBtr0168162; dbxref=FlyBase:FBpp0166654,FlyBase_Annotation_IDs:GI17437-PA,GB_protein:EDW11981,REFSEQ:XP_002002539,FlyMine:FBpp0166654,modMine:FBpp0166654; MD5=5229f5a1e29bb5e9ceb1417934839dfd; length=238; release=r1.3; species=Dmoj; 
FBpp0170365          -          CLIPB                -            1.9e-40  138.7   0.0   2.6e-40  138.3   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_6496:22438410..22439180; ID=FBpp0170365; name=Dmoj\GI21148-PA; parent=FBgn0143880,FBtr0171873; dbxref=FlyBase:FBpp0170365,FlyBase_Annotation_IDs:GI21148-PA,GB_protein:EDW10536,REFSEQ:XP_002006601,FlyMine:FBpp0170365,modMine:FBpp0170365; MD5=bc44b2583f338deb22701a902f36e514; length=256; release=r1.3; species=Dmoj; 
FBpp0166655          -          CLIPB                -            2.2e-40  138.5   0.1     3e-40  138.1   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6500:11316577..11317353; ID=FBpp0166655; name=Dmoj\GI17438-PA; parent=FBgn0140182,FBtr0168163; dbxref=FlyBase:FBpp0166655,FlyBase_Annotation_IDs:GI17438-PA,GB_protein:EDW11982,REFSEQ:XP_002002540,FlyMine:FBpp0166655,modMine:FBpp0166655; MD5=b16b59906869816ef500f78a2fbb35ea; length=258; release=r1.3; species=Dmoj; 
FBpp0173658          -          CLIPB                -            4.3e-40  137.6   0.1   7.1e-40  136.9   0.1   1.3   1   1   0   1   1   1   1 type=protein; loc=scaffold_6540:11850103..11850921; ID=FBpp0173658; name=Dmoj\GI24441-PA; parent=FBgn0147163,FBtr0175166; dbxref=FlyBase:FBpp0173658,FlyBase_Annotation_IDs:GI24441-PA,GB_protein:EDW14768,REFSEQ:XP_001999307,FlyMine:FBpp0173658,modMine:FBpp0173658; MD5=fd76f0fcf5bfacf2760f63affbcbc064; length=272; release=r1.3; species=Dmoj; 
FBpp0165894          -          CLIPB                -            5.4e-40  137.3   0.3     1e-39  136.3   0.3   1.3   1   1   0   1   1   1   1 type=protein; loc=scaffold_6654:complement(185599..186163,186227..186486); ID=FBpp0165894; name=Dmoj\GI16677-PA; parent=FBgn0139425,FBtr0167402; dbxref=FlyBase:FBpp0165894,FlyBase_Annotation_IDs:GI16677-PA,GB_protein:EDW17109,REFSEQ:XP_002011978,FlyMine:FBpp0165894,modMine:FBpp0165894; MD5=5b3ba1a16c5078f65140aebdcef60b28; length=274; release=r1.3; species=Dmoj; 
FBpp0167072          -          CLIPB                -            7.1e-40  136.9   0.0     1e-39  136.3   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6500:19631757..19632593; ID=FBpp0167072; name=Dmoj\GI17855-PA; parent=FBgn0140596,FBtr0168580; dbxref=FlyBase:FBpp0167072,FlyBase_Annotation_IDs:GI17855-PA,GB_protein:EDW12772,REFSEQ:XP_002003330,FlyMine:FBpp0167072,modMine:FBpp0167072; MD5=6d8f519d730262ad7d1b1e293259d2d2; length=278; release=r1.3; species=Dmoj; 
FBpp0170466          -          CLIPB                -            9.6e-39  133.1   0.0   1.7e-38  132.3   0.0   1.3   1   1   0   1   1   1   1 type=protein; loc=scaffold_6496:24340557..24341378; ID=FBpp0170466; name=Dmoj\GI21249-PA; parent=FBgn0143979,FBtr0171974; dbxref=FlyBase:FBpp0170466,FlyBase_Annotation_IDs:GI21249-PA,GB_protein:EDW10701,REFSEQ:XP_002006766,FlyMine:FBpp0170466,modMine:FBpp0170466; MD5=0c51d48b169f74f979037a73879a7c23; length=273; release=r1.3; species=Dmoj; 
FBpp0173755          -          CLIPB                -            1.3e-38  132.7   0.0   1.4e-38  132.6   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:join(13614876..13615085,13615158..13615329,13615507..13616624); ID=FBpp0173755; name=Dmoj\GI24538-PA; parent=FBgn0147260,FBtr0175263; dbxref=FlyBase:FBpp0173755,FlyBase_Annotation_IDs:GI24538-PA,GB_protein:EDW14948,REFSEQ:XP_001999487,FlyMine:FBpp0173755,modMine:FBpp0173755; MD5=b93955a3dcb7f8efb21eb7fcfa60d9aa; length=499; release=r1.3; species=Dmoj; 
FBpp0167632          -          CLIPB                -              2e-38  132.1   0.1   2.9e-38  131.6   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6496:complement(24319851..24320633); ID=FBpp0167632; name=Dmoj\GI18415-PA; parent=FBgn0141154,FBtr0169140; dbxref=FlyBase:FBpp0167632,FlyBase_Annotation_IDs:GI18415-PA,GB_protein:EDW10692,REFSEQ:XP_002006757,FlyMine:FBpp0167632,modMine:FBpp0167632; MD5=d694ed4a5f43d7ecc4d52ae29579c918; length=260; release=r1.3; species=Dmoj; 
FBpp0173656          -          CLIPB                -            3.6e-38  131.2   0.0   7.9e-38  130.1   0.0   1.4   1   1   0   1   1   1   1 type=protein; loc=scaffold_6540:11845902..11846765; ID=FBpp0173656; name=Dmoj\GI24439-PA; parent=FBgn0147161,FBtr0175164; dbxref=FlyBase:FBpp0173656,FlyBase_Annotation_IDs:GI24439-PA,GB_protein:EDW14766,REFSEQ:XP_001999305,FlyMine:FBpp0173656,modMine:FBpp0173656; MD5=c3b0f07aca739ac99e080dfdf3ee692b; length=287; release=r1.3; species=Dmoj; 
FBpp0173655          -          CLIPB                -            5.9e-38  130.6   0.0   1.3e-37  129.4   0.0   1.5   1   1   0   1   1   1   1 type=protein; loc=scaffold_6540:11841011..11841820; ID=FBpp0173655; name=Dmoj\GI24438-PA; parent=FBgn0147160,FBtr0175163; dbxref=FlyBase:FBpp0173655,FlyBase_Annotation_IDs:GI24438-PA,GB_protein:EDW14763,REFSEQ:XP_001999302,FlyMine:FBpp0173655,modMine:FBpp0173655; MD5=ed64faca7ef3b719e0ad3e314fd1159e; length=269; release=r1.3; species=Dmoj; 
FBpp0170463          -          CLIPB                -            6.3e-38  130.5   0.0   8.9e-38  130.0   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_6496:24336497..24337285; ID=FBpp0170463; name=Dmoj\GI21246-PA; parent=FBgn0143976,FBtr0171971; dbxref=FlyBase:FBpp0170463,FlyBase_Annotation_IDs:GI21246-PA,GB_protein:EDW10699,REFSEQ:XP_002006764,FlyMine:FBpp0170463,modMine:FBpp0170463; MD5=ac6f44d57f60938976d63d046e1b590c; length=262; release=r1.3; species=Dmoj; 
FBpp0171678          -          CLIPB                -            6.4e-38  130.4   0.0     9e-38  129.9   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:complement(24580992..24581147,24581211..24581812,24581871..24581961); ID=FBpp0171678; name=Dmoj\GI22461-PA; parent=FBgn0145189,FBtr0173186; dbxref=FlyBase:FBpp0171678,FlyBase_Annotation_IDs:GI22461-PA,GB_protein:EDW16001,REFSEQ:XP_002000540,FlyMine:FBpp0171678,modMine:FBpp0171678; MD5=ce3b7b4791add90fab111dd1202d7129; length=282; release=r1.3; species=Dmoj; 
FBpp0161171          -          CLIPB                -            3.6e-37  128.0   0.0   5.8e-37  127.3   0.0   1.3   1   1   0   1   1   1   1 type=protein; loc=scaffold_6680:complement(11906437..11907093); ID=FBpp0161171; name=Dmoj\GI11954-PA; parent=FBgn0134711,FBtr0162679; dbxref=FlyBase:FBpp0161171,FlyBase_Annotation_IDs:GI11954-PA,GB_protein:EDW18664,REFSEQ:XP_002008188,FlyMine:FBpp0161171,modMine:FBpp0161171; MD5=0f000f9329dc2cb9e4e194b96f9e20cb; length=218; release=r1.3; species=Dmoj; 
FBpp0164717          -          CLIPB                -            4.9e-37  127.5   0.0   6.2e-37  127.2   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6473:4702564..4703337; ID=FBpp0164717; name=Dmoj\GI15500-PA; parent=FBgn0138249,FBtr0166225; dbxref=FlyBase:FBpp0164717,FlyBase_Annotation_IDs:GI15500-PA,GB_protein:EDW07008,REFSEQ:XP_002009691,FlyMine:FBpp0164717,modMine:FBpp0164717; MD5=3d01dcc859caf13602b369163c473209; length=257; release=r1.3; species=Dmoj; 
FBpp0173314          -          CLIPB                -            3.6e-36  124.7   0.0   5.4e-36  124.1   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:join(6098872..6099467,6099606..6099646,6099709..6099780,6099845..6099924); ID=FBpp0173314; name=Dmoj\GI24097-PA; parent=FBgn0146820,FBtr0174822; dbxref=FlyBase:FBpp0173314,FlyBase_Annotation_IDs:GI24097-PA,GB_protein:EDW14127,REFSEQ:XP_001998666,FlyMine:FBpp0173314,modMine:FBpp0173314; MD5=743304da70e059075ea9cc2bbea41a20; length=262; release=r1.3; species=Dmoj; 
FBpp0165898          -          CLIPB                -            3.9e-36  124.6   0.4   1.9e-35  122.3   0.4   1.8   1   1   0   1   1   1   1 type=protein; loc=scaffold_6654:complement(171688..172497); ID=FBpp0165898; name=Dmoj\GI16681-PA; parent=FBgn0139429,FBtr0167406; dbxref=FlyBase:FBpp0165898,FlyBase_Annotation_IDs:GI16681-PA,GB_protein:EDW17103,REFSEQ:XP_002011972,FlyMine:FBpp0165898,modMine:FBpp0165898; MD5=dc26396fa07c28cbb59172b6a2cab27f; length=269; release=r1.3; species=Dmoj; 
FBpp0159887          -          CLIPB                -              4e-36  124.5   0.1   6.2e-36  123.9   0.1   1.3   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:join(30819053..30819192,30819435..30819539,30819624..30819742,30819811..30820160); ID=FBpp0159887; name=Dmoj\GI10670-PA; parent=FBgn0133434,FBtr0161395; dbxref=FlyBase:FBpp0159887,FlyBase_Annotation_IDs:GI10670-PA,GB_protein:EDW16682,REFSEQ:XP_002001221,FlyMine:FBpp0159887,modMine:FBpp0159887; MD5=178e20b20814d9c87e7df0493e4b600f; length=237; release=r1.3; species=Dmoj; 
FBpp0161175          -          CLIPB                -            5.5e-36  124.1   0.0     7e-36  123.7   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6680:complement(11902955..11903728); ID=FBpp0161175; name=Dmoj\GI11958-PA; parent=FBgn0134715,FBtr0162683; dbxref=FlyBase:FBpp0161175,FlyBase_Annotation_IDs:GI11958-PA,GB_protein:EDW18661,REFSEQ:XP_002008185,FlyMine:FBpp0161175,modMine:FBpp0161175; MD5=a3f52fc5fbd6438edf1dc9483f1c86ac; length=257; release=r1.3; species=Dmoj; 
FBpp0161176          -          CLIPB                -            9.6e-36  123.3   0.1   1.2e-35  122.9   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6680:complement(11901712..11902491); ID=FBpp0161176; name=Dmoj\GI11959-PA; parent=FBgn0134716,FBtr0162684; dbxref=FlyBase:FBpp0161176,FlyBase_Annotation_IDs:GI11959-PA,GB_protein:EDW18660,REFSEQ:XP_002008184,FlyMine:FBpp0161176,modMine:FBpp0161176; MD5=f9b38dc345dffe48d3de4d0bf52de370; length=259; release=r1.3; species=Dmoj; 
FBpp0173101          -          CLIPB                -            1.2e-35  122.9   0.0   1.6e-35  122.5   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:join(2924258..2924342,2924397..2924586,2924644..2925316); ID=FBpp0173101; name=Dmoj\GI23884-PA; parent=FBgn0146609,FBtr0174609; dbxref=FlyBase:FBpp0173101,FlyBase_Annotation_IDs:GI23884-PA,GB_protein:EDW13760,REFSEQ:XP_001998299,FlyMine:FBpp0173101,modMine:FBpp0173101; MD5=689f71edefee75369c0e6ee8e857a509; length=315; release=r1.3; species=Dmoj; 
FBpp0167951          -          CLIPB                -            1.5e-35  122.7   2.1   1.9e-35  122.3   2.1   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6496:complement(16680247..16680522,16680921..16681694); ID=FBpp0167951; name=Dmoj\GI18734-PA; parent=FBgn0141473,FBtr0169459; dbxref=FlyBase:FBpp0167951,FlyBase_Annotation_IDs:GI18734-PA,GB_protein:EDW10046,REFSEQ:XP_002006111,FlyMine:FBpp0167951,modMine:FBpp0167951; MD5=b921e20db120b4449e123d4e5e37e4f9; length=349; release=r1.3; species=Dmoj; 
FBpp0161177          -          CLIPB                -            3.3e-35  121.5   0.0   5.8e-35  120.7   0.0   1.3   1   1   0   1   1   1   1 type=protein; loc=scaffold_6680:complement(11900689..11901441); ID=FBpp0161177; name=Dmoj\GI11960-PA; parent=FBgn0134717,FBtr0162685; dbxref=FlyBase:FBpp0161177,FlyBase_Annotation_IDs:GI11960-PA,GB_protein:EDW18659,REFSEQ:XP_002008183,FlyMine:FBpp0161177,modMine:FBpp0161177; MD5=b5e8c1318960ae42c0319003ed518b71; length=250; release=r1.3; species=Dmoj; 
FBpp0173659          -          CLIPB                -            3.4e-35  121.5   0.0   4.8e-35  121.0   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:11852809..11853648; ID=FBpp0173659; name=Dmoj\GI24442-PA; parent=FBgn0147164,FBtr0175167; dbxref=FlyBase:FBpp0173659,FlyBase_Annotation_IDs:GI24442-PA,GB_protein:EDW14769,REFSEQ:XP_001999308,FlyMine:FBpp0173659,modMine:FBpp0173659; MD5=cba11d68a3514917737c1fa49dd8ba57; length=279; release=r1.3; species=Dmoj; 
FBpp0161178          -          CLIPB                -              4e-35  121.2   0.1   1.1e-34  119.7   0.1   1.6   1   1   0   1   1   1   1 type=protein; loc=scaffold_6680:complement(11899224..11900015); ID=FBpp0161178; name=Dmoj\GI11961-PA; parent=FBgn0134718,FBtr0162686; dbxref=FlyBase:FBpp0161178,FlyBase_Annotation_IDs:GI11961-PA,GB_protein:EDW18658,REFSEQ:XP_002008182,FlyMine:FBpp0161178,modMine:FBpp0161178; MD5=b6fa027b49daf519e41ebaf21f4e635c; length=263; release=r1.3; species=Dmoj; 
FBpp0172361          -          CLIPB                -            1.8e-34  119.1   0.0   4.2e-34  117.9   0.0   1.5   1   1   0   1   1   1   1 type=protein; loc=scaffold_6540:complement(11841892..11842746); ID=FBpp0172361; name=Dmoj\GI23144-PA; parent=FBgn0145871,FBtr0173869; dbxref=FlyBase:FBpp0172361,FlyBase_Annotation_IDs:GI23144-PA,GB_protein:EDW14764,REFSEQ:XP_001999303,FlyMine:FBpp0172361,modMine:FBpp0172361; MD5=9fec7efa8a8d312d3c7c464b7a36b25d; length=284; release=r1.3; species=Dmoj; 
FBpp0173926          -          CLIPB                -            2.2e-34  118.8   1.9   4.4e-34  117.8   1.9   1.5   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:join(16194047..16194113,16194597..16194906,16194965..16195443,16195503..16196058,16196178..16196697); ID=FBpp0173926; name=Dmoj\GI24709-PA; parent=FBgn0147431,FBtr0175434; dbxref=FlyBase:FBpp0173926,FlyBase_Annotation_IDs:GI24709-PA,GB_protein:EDW15228,REFSEQ:XP_001999767,FlyMine:FBpp0173926,modMine:FBpp0173926; MD5=d0f52902bf78d0292a2a9a287f332e68; length=643; release=r1.3; species=Dmoj; 
FBpp0171677          -          CLIPB                -            2.9e-34  118.4   0.0   5.6e-34  117.5   0.0   1.4   1   1   0   1   1   1   1 type=protein; loc=scaffold_6540:complement(24591050..24591229,24591284..24591955); ID=FBpp0171677; name=Dmoj\GI22460-PA; parent=FBgn0145188,FBtr0173185; dbxref=FlyBase:FBpp0171677,FlyBase_Annotation_IDs:GI22460-PA,GB_protein:EDW16003,REFSEQ:XP_002000542,FlyMine:FBpp0171677,modMine:FBpp0171677; MD5=910770f5bdb8dc7e96bc7021126c98d6; length=283; release=r1.3; species=Dmoj; 
FBpp0166054          -          CLIPB                -            4.5e-34  117.8   0.0   7.8e-34  117.0   0.0   1.3   1   1   0   1   1   1   1 type=protein; loc=scaffold_6654:join(1929011..1929644,1929714..1929943); ID=FBpp0166054; name=Dmoj\GI16837-PA; parent=FBgn0139584,FBtr0167562; dbxref=FlyBase:FBpp0166054,FlyBase_Annotation_IDs:GI16837-PA,GB_protein:EDW17325,REFSEQ:XP_002012194,FlyMine:FBpp0166054,modMine:FBpp0166054; MD5=4c6cf755cf645540fd80640f0e2bec9b; length=287; release=r1.3; species=Dmoj; 
FBpp0162474          -          CLIPB                -            5.5e-34  117.5   0.2   7.9e-33  113.7   0.2   1.9   1   1   0   1   1   1   1 type=protein; loc=scaffold_6680:10452052..10452849; ID=FBpp0162474; name=Dmoj\GI13257-PA; parent=FBgn0136014,FBtr0163982; dbxref=FlyBase:FBpp0162474,FlyBase_Annotation_IDs:GI13257-PA,GB_protein:EDW18468,REFSEQ:XP_002007992,FlyMine:FBpp0162474,modMine:FBpp0162474; MD5=9714a14dde09647a37223f8600eb9e9a; length=265; release=r1.3; species=Dmoj; 
FBpp0165098          -          CLIPB                -            9.7e-34  116.7   0.0   5.7e-33  114.1   0.0   1.8   1   1   0   1   1   1   1 type=protein; loc=scaffold_6473:join(13357333..13357571,13357653..13358178); ID=FBpp0165098; name=Dmoj\GI15881-PA; parent=FBgn0138630,FBtr0166606; dbxref=FlyBase:FBpp0165098,FlyBase_Annotation_IDs:GI15881-PA,GB_protein:EDW07678,REFSEQ:XP_002010361,FlyMine:FBpp0165098,modMine:FBpp0165098; MD5=198322404324b15ed5c6cc98f0033ce6; length=254; release=r1.3; species=Dmoj; 
FBpp0165262          -          CLIPB                -            1.1e-33  116.5   0.0   1.5e-33  116.1   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6328:complement(4007140..4007505,4007626..4007911,4008320..4008432); ID=FBpp0165262; name=Dmoj\GI16045-PA; parent=FBgn0138794,FBtr0166770; dbxref=FlyBase:FBpp0165262,FlyBase_Annotation_IDs:GI16045-PA,GB_protein:EDW06197,REFSEQ:XP_002011355,FlyMine:FBpp0165262,modMine:FBpp0165262; MD5=decd8aba6e5860562540a083d82f226e; length=254; release=r1.3; species=Dmoj; 
FBpp0162471          -          CLIPB                -            1.5e-33  116.1   0.6   2.2e-32  112.2   0.6   1.9   1   1   0   1   1   1   1 type=protein; loc=scaffold_6680:10448161..10448982; ID=FBpp0162471; name=Dmoj\GI13254-PA; parent=FBgn0136011,FBtr0163979; dbxref=FlyBase:FBpp0162471,FlyBase_Annotation_IDs:GI13254-PA,GB_protein:EDW18465,REFSEQ:XP_002007989,FlyMine:FBpp0162471,modMine:FBpp0162471; MD5=541b35a827c7a4d0eed6fc395e95fa72; length=273; release=r1.3; species=Dmoj; 
FBpp0172362          -          CLIPB                -            2.4e-33  115.4   0.0   4.3e-33  114.6   0.0   1.3   1   1   0   1   1   1   1 type=protein; loc=scaffold_6540:complement(11839275..11840072); ID=FBpp0172362; name=Dmoj\GI23145-PA; parent=FBgn0145872,FBtr0173870; dbxref=FlyBase:FBpp0172362,FlyBase_Annotation_IDs:GI23145-PA,GB_protein:EDW14762,REFSEQ:XP_001999301,FlyMine:FBpp0172362,modMine:FBpp0172362; MD5=a91d570967bf94003a59d3828b645595; length=265; release=r1.3; species=Dmoj; 
FBpp0172359          -          CLIPB                -            2.7e-33  115.2   0.0   5.9e-33  114.1   0.0   1.4   1   1   0   1   1   1   1 type=protein; loc=scaffold_6540:complement(11844129..11844938); ID=FBpp0172359; name=Dmoj\GI23142-PA; parent=FBgn0145869,FBtr0173867; dbxref=FlyBase:FBpp0172359,FlyBase_Annotation_IDs:GI23142-PA,GB_protein:EDW14765,REFSEQ:XP_001999304,FlyMine:FBpp0172359,modMine:FBpp0172359; MD5=80d0fe7b1e3f7e7cce54cd7a369ea46d; length=269; release=r1.3; species=Dmoj; 
FBpp0161172          -          CLIPB                -            2.9e-33  115.1   0.0   1.6e-32  112.7   0.0   1.8   1   1   0   1   1   1   1 type=protein; loc=scaffold_6680:complement(11905038..11906114); ID=FBpp0161172; name=Dmoj\GI11955-PA; parent=FBgn0134712,FBtr0162680; dbxref=FlyBase:FBpp0161172,FlyBase_Annotation_IDs:GI11955-PA,GB_protein:EDW18663,REFSEQ:XP_002008187,FlyMine:FBpp0161172,modMine:FBpp0161172; MD5=9aa52c6f29712bf141ddfe1f9654a34c; length=358; release=r1.3; species=Dmoj; 
FBpp0171680          -          CLIPB                -              3e-33  115.1   0.0   6.7e-33  113.9   0.0   1.5   1   1   0   1   1   1   1 type=protein; loc=scaffold_6540:complement(24573348..24573512,24573572..24574164,24574223..24574289); ID=FBpp0171680; name=Dmoj\GI22463-PA; parent=FBgn0145191,FBtr0173188; dbxref=FlyBase:FBpp0171680,FlyBase_Annotation_IDs:GI22463-PA,GB_protein:EDW15997,REFSEQ:XP_002000536,FlyMine:FBpp0171680,modMine:FBpp0171680; MD5=fc4ef7e84f44982f90c378b001512ccf; length=274; release=r1.3; species=Dmoj; 
FBpp0165096          -          CLIPB                -            3.7e-33  114.8   0.0   5.8e-33  114.1   0.0   1.3   1   1   0   1   1   1   1 type=protein; loc=scaffold_6473:join(13351727..13351956,13352201..13352747); ID=FBpp0165096; name=Dmoj\GI15879-PA; parent=FBgn0138628,FBtr0166604; dbxref=FlyBase:FBpp0165096,FlyBase_Annotation_IDs:GI15879-PA,GB_protein:EDW07676,REFSEQ:XP_002010359,FlyMine:FBpp0165096,modMine:FBpp0165096; MD5=f93e7461766652a7d8b525ab67277376; length=258; release=r1.3; species=Dmoj; 
FBpp0165099          -          CLIPB                -            4.6e-33  114.5   0.0   6.8e-33  113.9   0.0   1.3   1   1   0   1   1   1   1 type=protein; loc=scaffold_6473:join(13360225..13360496,13360557..13361091); ID=FBpp0165099; name=Dmoj\GI15882-PA; parent=FBgn0138631,FBtr0166607; dbxref=FlyBase:FBpp0165099,FlyBase_Annotation_IDs:GI15882-PA,GB_protein:EDW07679,REFSEQ:XP_002010362,FlyMine:FBpp0165099,modMine:FBpp0165099; MD5=06a9afb48c2b746d5891b0ded1f83bd5; length=268; release=r1.3; species=Dmoj; 
FBpp0162925          -          CLIPB                -            1.7e-32  112.6   0.0   3.8e-32  111.5   0.0   1.4   1   1   0   1   1   1   1 type=protein; loc=scaffold_6680:18398298..18399092; ID=FBpp0162925; name=Dmoj\GI13708-PA; parent=FBgn0136463,FBtr0164433; dbxref=FlyBase:FBpp0162925,FlyBase_Annotation_IDs:GI13708-PA,GB_protein:EDW19309,REFSEQ:XP_002008833,FlyMine:FBpp0162925,modMine:FBpp0162925; MD5=df1045e241cad7abb7ef939d98ec8aab; length=264; release=r1.3; species=Dmoj; 
FBpp0171377          -          CLIPB                -            2.4e-32  112.1   0.0   3.2e-32  111.7   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:complement(29643011..29643720,29643782..29643953); ID=FBpp0171377; name=Dmoj\GI22160-PA; parent=FBgn0144889,FBtr0172885; dbxref=FlyBase:FBpp0171377,FlyBase_Annotation_IDs:GI22160-PA,GB_protein:EDW16553,REFSEQ:XP_002001092,FlyMine:FBpp0171377,modMine:FBpp0171377; MD5=fc4ef6fc8a08f16125f088e057bb6d40; length=293; release=r1.3; species=Dmoj; 
